Fallnummer,Aktivität,Zeitstempel,Ausführende Person,Kosten (EUR),Transportiertes Gut,Produktpreis (EUR),Kunde,Abnahmeort,Abgabeort
001,Auftrag eingegangen,2024-02-11 16:31:47,Noah Becker,59.71,P,90.0,Firma2,Lager J,Lager I
001,Ware zur Produktion gebracht,2024-02-11 17:18:47,Mia Schmitt,65.99,P,150.0,Firma12,Lager H,Lager C
001,Ware hergestellt,2024-02-11 17:28:47,Luca Huber,23.64,P,90.0,Firma14,Lager B,Lager D
001,Ware verpackt,2024-02-11 18:22:47,Noah Becker,77.89,P,110.0,Firma5,Lager C,Lager I
001,Ware versandt,2024-02-11 18:34:47,Jonas Richter,20.72,P,70.0,Firma3,Lager B,Lager E
002,Auftrag eingegangen,2024-02-11 16:31:47,Lisa Mueller,79.95,P,130.0,Firma18,Lager A,Lager D
002,Ware zur Produktion gebracht,2024-02-11 16:50:47,Leonie Richter,9.34,P,130.0,Firma8,Lager H,Lager D
002,Ware hergestellt,2024-02-11 17:28:47,Nico Schmidt,39.87,P,85.0,Firma8,Lager G,Lager J
002,Ware verpackt,2024-02-11 17:31:47,David Meyer,67.42,P,85.0,Firma3,Lager A,Lager F
002,Ware versandt,2024-02-11 18:10:47,Max Mustermann,71.82,P,130.0,Firma12,Lager I,Lager D
003,Auftrag eingegangen,2024-02-11 16:31:47,Lena Mueller,90.8,P,80.0,Firma4,Lager I,Lager E
003,Ware aus Lager geholt,2024-02-11 17:17:47,Max Mustermann,39.24,P,90.0,Firma1,Lager C,Lager A
003,Ware zum Versand vorbereitet,2024-02-11 17:31:47,Leonie Richter,17.95,P,120.0,Firma3,Lager H,Lager J
003,Ware versandt,2024-02-11 17:54:47,Lisa Schulz,81.11,P,140.0,Firma8,Lager D,Lager G
004,Auftrag eingegangen,2024-02-11 16:31:47,Lisa Mueller,97.14,P,130.0,Firma10,Lager B,Lager I
004,Ware aus Lager geholt,2024-02-11 17:02:47,Lisa Mueller,43.78,P,130.0,Firma6,Lager F,Lager D
004,Ware zum Versand vorbereitet,2024-02-11 17:38:47,Mia Schmitt,69.1,P,110.0,Firma6,Lager B,Lager H
004,Ware versandt,2024-02-11 18:25:47,Paul Zimmer,50.15,P,95.0,Firma7,Lager H,Lager D
005,Auftrag eingegangen,2024-02-11 16:31:47,Emilia Wagner,39.49,P,100.0,Firma8,Lager G,Lager G
005,Ware zur Produktion gebracht,2024-02-11 17:01:47,Leonie Richter,33.29,P,110.0,Firma9,Lager D,Lager E
005,Ware hergestellt,2024-02-11 17:30:47,Sophia Lang,34.1,P,80.0,Firma4,Lager B,Lager H
005,Ware verpackt,2024-02-11 17:38:47,Leonie Richter,79.33,P,120.0,Firma6,Lager H,Lager E
005,Ware versandt,2024-02-11 18:03:47,Emma Weber,27.17,P,70.0,Firma2,Lager G,Lager I
006,Auftrag eingegangen,2024-02-11 16:31:47,Lena Mueller,7.62,P,130.0,Firma14,Lager D,Lager F
006,Ware aus Lager geholt,2024-02-11 17:10:47,Laura Fischer,17.92,P,80.0,Firma6,Lager G,Lager D
006,Ware zum Versand vorbereitet,2024-02-11 18:06:47,Noah Becker,99.44,P,150.0,Firma3,Lager F,Lager I
006,Ware versandt,2024-02-11 18:14:47,Lena Mueller,93.36,P,110.0,Firma2,Lager I,Lager B
007,Auftrag eingegangen,2024-02-11 16:31:47,Lena Mueller,17.26,P,140.0,Firma13,Lager C,Lager A
007,Ware zur Produktion gebracht,2024-02-11 16:37:47,Mia Schmitt,65.57,P,95.0,Firma19,Lager F,Lager I
007,Ware hergestellt,2024-02-11 17:23:47,Nico Schmidt,37.13,P,100.0,Firma4,Lager B,Lager A
007,Ware verpackt,2024-02-11 18:21:47,Emilia Wagner,31.63,P,90.0,Firma7,Lager C,Lager G
007,Ware versandt,2024-02-11 18:45:47,Jonas Richter,42.41,P,150.0,Firma6,Lager I,Lager C
008,Auftrag eingegangen,2024-02-11 16:31:47,Hannah Meyer,75.74,P,110.0,Firma8,Lager F,Lager G
008,Ware aus Lager geholt,2024-02-11 16:58:47,Emma Weber,37.92,P,150.0,Firma13,Lager B,Lager F
008,Ware zum Versand vorbereitet,2024-02-11 17:12:47,Sophia Lang,79.94,P,80.0,Firma10,Lager G,Lager G
008,Ware versandt,2024-02-11 18:08:47,Mia Schmitt,60.31,P,100.0,Firma14,Lager C,Lager B
009,Auftrag eingegangen,2024-02-11 16:31:47,Sophia Lang,9.72,P,95.0,Firma11,Lager E,Lager H
009,Ware aus Lager geholt,2024-02-11 16:58:47,Nico Schmidt,56.54,P,130.0,Firma10,Lager F,Lager F
009,Ware zum Versand vorbereitet,2024-02-11 17:08:47,Emilia Wagner,92.85,P,120.0,Firma3,Lager H,Lager G
009,Ware versandt,2024-02-11 17:57:47,Paul Zimmer,23.71,P,95.0,Firma5,Lager I,Lager H
010,Auftrag eingegangen,2024-02-11 16:31:47,Hannah Meyer,10.26,P,100.0,Firma2,Lager G,Lager B
010,Ware zur Produktion gebracht,2024-02-11 16:45:47,Timo Wagner,95.97,P,85.0,Firma7,Lager H,Lager B
010,Ware hergestellt,2024-02-11 17:18:47,Lisa Mueller,72.37,P,140.0,Firma1,Lager F,Lager F
010,Ware verpackt,2024-02-11 17:40:47,Noah Becker,40.46,P,120.0,Firma13,Lager I,Lager A
010,Ware versandt,2024-02-11 18:18:47,Mia Schmitt,70.01,P,100.0,Firma17,Lager I,Lager D
011,Auftrag eingegangen,2024-02-11 16:31:47,Nico Schmidt,89.76,P,90.0,Firma4,Lager F,Lager E
011,Ware zur Produktion gebracht,2024-02-11 17:04:47,Hannah Meyer,54.1,P,100.0,Firma1,Lager H,Lager B
011,Ware hergestellt,2024-02-11 17:35:47,Emma Weber,90.04,P,95.0,Firma9,Lager H,Lager J
011,Ware verpackt,2024-02-11 17:46:47,Sophia Lang,20.51,P,85.0,Firma3,Lager C,Lager G
011,Ware versandt,2024-02-11 18:06:47,Sarah Schmidt,96.52,P,85.0,Firma8,Lager J,Lager F
012,Auftrag eingegangen,2024-02-11 16:31:47,Emma Weber,52.08,P,75.0,Firma15,Lager C,Lager A
012,Ware zur Produktion gebracht,2024-02-11 16:50:47,Sarah Schmidt,33.19,P,130.0,Firma10,Lager H,Lager B
012,Ware hergestellt,2024-02-11 17:49:47,Sarah Schmidt,54.09,P,90.0,Firma6,Lager I,Lager A
012,Ware verpackt,2024-02-11 18:26:47,Luca Huber,26.28,P,120.0,Firma12,Lager B,Lager D
012,Ware versandt,2024-02-11 18:33:47,Sarah Schmidt,49.13,P,100.0,Firma18,Lager D,Lager H
013,Auftrag eingegangen,2024-02-11 16:31:47,Jonas Richter,67.85,P,80.0,Firma13,Lager J,Lager C
013,Ware zur Produktion gebracht,2024-02-11 17:31:47,Luca Huber,94.78,P,130.0,Firma13,Lager C,Lager I
013,Ware hergestellt,2024-02-11 17:33:47,Noah Becker,43.18,P,80.0,Firma14,Lager G,Lager C
013,Ware verpackt,2024-02-11 17:34:47,Mia Schmitt,76.94,P,130.0,Firma11,Lager J,Lager F
013,Ware versandt,2024-02-11 17:45:47,Lena Mueller,9.93,P,75.0,Firma3,Lager H,Lager A
014,Auftrag eingegangen,2024-02-11 16:31:47,Leonie Richter,38.99,P,85.0,Firma17,Lager A,Lager E
014,Ware zur Produktion gebracht,2024-02-11 17:29:47,Max Mustermann,64.25,P,110.0,Firma7,Lager H,Lager I
014,Ware hergestellt,2024-02-11 18:16:47,Sophia Lang,93.45,P,110.0,Firma17,Lager A,Lager H
014,Ware verpackt,2024-02-11 18:54:47,Luca Huber,51.93,P,75.0,Firma17,Lager H,Lager E
014,Ware versandt,2024-02-11 18:56:47,Jonas Richter,48.27,P,130.0,Firma1,Lager E,Lager J
015,Auftrag eingegangen,2024-02-11 16:31:47,Nico Schmidt,73.24,P,130.0,Firma9,Lager H,Lager C
015,Ware zur Produktion gebracht,2024-02-11 17:16:47,Emilia Wagner,27.74,P,95.0,Firma18,Lager I,Lager B
015,Ware hergestellt,2024-02-11 18:06:47,Leonie Richter,19.55,P,110.0,Firma8,Lager D,Lager D
015,Ware verpackt,2024-02-11 18:55:47,Mia Schmitt,51.16,P,75.0,Firma5,Lager E,Lager E
015,Ware versandt,2024-02-11 19:48:47,Noah Becker,91.05,P,120.0,Firma4,Lager A,Lager B
016,Auftrag eingegangen,2024-02-11 16:31:47,Nico Schmidt,25.89,P,90.0,Firma18,Lager F,Lager F
016,Ware zur Produktion gebracht,2024-02-11 16:56:47,Lena Mueller,65.37,P,75.0,Firma12,Lager F,Lager E
016,Ware hergestellt,2024-02-11 17:39:47,Lisa Mueller,90.61,P,95.0,Firma7,Lager J,Lager D
016,Ware verpackt,2024-02-11 17:43:47,Emilia Wagner,93.43,P,130.0,Firma3,Lager F,Lager D
016,Ware versandt,2024-02-11 18:00:47,Emma Weber,58.33,P,100.0,Firma17,Lager H,Lager H
017,Auftrag eingegangen,2024-02-11 16:31:47,Nico Schmidt,11.27,P,75.0,Firma13,Lager B,Lager D
