Fallnummer,Aktivität,Zeitstempel,Abteilung,Ausführende Person,Kosten (EUR),Kunde,Transportiertes Gut,Produktpreis (EUR),Ort
001,Kunden-Daten aufnehmen,2024-03-05 11:45:56,Auftragsannahme,Lisa Schulz,"3,24",Sony,Produkt G,"95,0",Schalter
001,Kunden-Daten in System übertragen,2024-03-05 12:15:56,Auftragsannahme,Lena Mueller,"1,27",Sony,Produkt G,"95,0",online
001,Zahlvorgang abschließen,2024-03-05 13:04:56,Auftragsannahme,Sarah Schmidt,"2,72",Sony,Produkt G,"95,0",Schalter
001,Bestellung im System eintragen,2024-03-05 13:08:56,Auftragsannahme,Sarah Schmidt,"8,35",Sony,Produkt G,"95,0",online
001,Lagerbestand überprüfen,2024-03-05 14:00:56,Bestandsverwaltung,Lisa Mueller,"5,23",Sony,Produkt G,"95,0",online
001,Auftragsabwicklung im System starten,2024-03-05 14:26:56,Bestandsverwaltung,Jan Becker,"3,56",Sony,Produkt G,"95,0",online
001,Artikel zusammenstellen,2024-03-05 14:31:56,Lager,Jonas Richter,"14,59",Sony,Produkt G,"95,0",Lager C
001,Versicherungs-Bescheinigung dazulegen,2024-03-05 14:33:56,Lager,Jonas Richter,"1,99",Sony,Produkt G,"95,0",Lager C
001,Ware verpacken,2024-03-05 15:26:56,Lager,Mia Schmitt,"3,26",Sony,Produkt G,"95,0",Lager C
001,Gewicht prüfen,2024-03-05 16:23:56,Qualitätskontrolle,Hannah Meyer,"2,06",Sony,Produkt G,"95,0",Lager C
001,Anzahl der Artikel überprüfen,2024-03-05 17:00:56,Qualitätskontrolle,Emilia Wagner,"4,23",Sony,Produkt G,"95,0",Lager C
001,Verpackung prüfen,2024-03-05 17:11:56,Qualitätskontrolle,Hannah Meyer,"3,0",Sony,Produkt G,"95,0",Lager C
001,Informationen an Transporteur übermitteln,2024-03-05 18:08:56,Warenausgang,Luca Huber,"5,8",Sony,Produkt G,"95,0",online
001,Paket an Transporteur übergeben,2024-03-05 18:31:56,Warenausgang,Emma Weber,"8,12",Sony,Produkt G,"95,0",Warenausgabe 3
001,Bestellstatus im System ändern,2024-03-05 18:32:56,Warenausgang,Emma Weber,"1,63",Sony,Produkt G,"95,0",online
002,Kunden-Daten aufnehmen,2024-03-05 11:45:56,Auftragsannahme,Max Mustermann,"2,66",Samsung Electronics,Produkt S,"90,0",Schalter
002,Kunden-Daten in System übertragen,2024-03-05 11:58:56,Auftragsannahme,Lisa Schulz,"2,28",Samsung Electronics,Produkt S,"90,0",online
002,Zahlvorgang abschließen,2024-03-05 12:17:56,Auftragsannahme,Max Mustermann,"2,45",Samsung Electronics,Produkt S,"90,0",Schalter
002,Bestellung im System eintragen,2024-03-05 12:52:56,Auftragsannahme,Max Mustermann,"6,64",Samsung Electronics,Produkt S,"90,0",online
002,Lagerbestand überprüfen,2024-03-05 13:47:56,Bestandsverwaltung,Lisa Mueller,"6,72",Samsung Electronics,Produkt S,"90,0",online
002,Artikel bestellen,2024-03-05 14:43:56,Bestandsverwaltung,Jan Becker,"6,43",Samsung Electronics,Produkt S,"90,0",online
002,Information an Kunde über verspätetet Lieferzeit verschicken,2024-03-05 15:35:56,Bestandsverwaltung,Lisa Mueller,"1,17",Samsung Electronics,Produkt S,"90,0",online
002,Auftragsabwicklung im System starten,2024-03-05 16:30:56,Bestandsverwaltung,Laura Fischer,"3,28",Samsung Electronics,Produkt S,"90,0",online
002,Artikel zusammenstellen,2024-03-05 16:52:56,Lager,Mia Schmitt,"13,58",Samsung Electronics,Produkt S,"90,0",Lager B
002,Versicherungs-Bescheinigung dazulegen,2024-03-05 16:54:56,Lager,Jonas Richter,"1,96",Samsung Electronics,Produkt S,"90,0",Lager C
002,Ware verpacken,2024-03-05 16:55:56,Lager,Mia Schmitt,"7,46",Samsung Electronics,Produkt S,"90,0",Lager C
002,Gewicht prüfen,2024-03-05 16:56:56,Qualitätskontrolle,Emilia Wagner,"1,89",Samsung Electronics,Produkt S,"90,0",Lager C
002,Anzahl der Artikel überprüfen,2024-03-05 17:27:56,Qualitätskontrolle,Noah Becker,"3,98",Samsung Electronics,Produkt S,"90,0",Lager C
002,Verpackung prüfen,2024-03-05 18:20:56,Qualitätskontrolle,Emilia Wagner,"2,34",Samsung Electronics,Produkt S,"90,0",Lager C
002,Informationen an Transporteur übermitteln,2024-03-05 19:09:56,Warenausgang,Emma Weber,"4,24",Samsung Electronics,Produkt S,"90,0",online
002,Paket an Transporteur übergeben,2024-03-05 20:09:56,Warenausgang,Leonie Richter,"10,52",Samsung Electronics,Produkt S,"90,0",Warenausgabe 3
002,Bestellstatus im System ändern,2024-03-05 20:13:56,Warenausgang,Leonie Richter,"1,86",Samsung Electronics,Produkt S,"90,0",online
003,Kunden-Daten aufnehmen,2024-03-05 11:45:56,Auftragsannahme,Max Mustermann,"3,2",Hitachi,Produkt D,"70,0",Schalter
003,Kunden-Daten in System übertragen,2024-03-05 11:46:56,Auftragsannahme,Timo Wagner,"2,96",Hitachi,Produkt D,"70,0",online
003,Zahlvorgang abschließen,2024-03-05 12:24:56,Auftragsannahme,Max Mustermann,"2,24",Hitachi,Produkt D,"70,0",Schalter
003,Bestellung im System eintragen,2024-03-05 13:18:56,Auftragsannahme,Timo Wagner,"7,46",Hitachi,Produkt D,"70,0",online
003,Lagerbestand überprüfen,2024-03-05 14:09:56,Bestandsverwaltung,Paul Zimmer,"4,1",Hitachi,Produkt D,"70,0",online
003,Artikel bestellen,2024-03-05 14:18:56,Bestandsverwaltung,Jan Becker,"7,77",Hitachi,Produkt D,"70,0",online
003,Information an Kunde über verspätetet Lieferzeit verschicken,2024-03-05 14:29:56,Bestandsverwaltung,Lisa Mueller,"2,73",Hitachi,Produkt D,"70,0",online
003,Auftragsabwicklung im System starten,2024-03-05 15:08:56,Bestandsverwaltung,Laura Fischer,"5,99",Hitachi,Produkt D,"70,0",online
003,Artikel zusammenstellen,2024-03-05 15:41:56,Lager,Mia Schmitt,"10,45",Hitachi,Produkt D,"70,0",Lager A
003,Ware verpacken,2024-03-05 16:19:56,Lager,Mia Schmitt,"7,87",Hitachi,Produkt D,"70,0",Lager C
003,Gewicht prüfen,2024-03-05 16:50:56,Qualitätskontrolle,Emilia Wagner,"2,27",Hitachi,Produkt D,"70,0",Lager C
003,Anzahl der Artikel überprüfen,2024-03-05 17:20:56,Qualitätskontrolle,Hannah Meyer,"4,66",Hitachi,Produkt D,"70,0",Lager C
003,Verpackung prüfen,2024-03-05 18:03:56,Qualitätskontrolle,Emilia Wagner,"2,09",Hitachi,Produkt D,"70,0",Lager C
003,Fehler im System eintragen,2024-03-05 18:13:56,Qualitätskontrolle,Hannah Meyer,"6,6",Hitachi,Produkt D,"70,0",online
003,Bestandsverwaltung informieren,2024-03-05 18:44:56,Qualitätskontrolle,Emilia Wagner,"2,32",Hitachi,Produkt D,"70,0",online
003,Lagerbestand überprüfen,2024-03-05 19:19:56,Bestandsverwaltung,Jan Becker,"2,89",Hitachi,Produkt D,"70,0",online
003,Auftragsabwicklung im System starten,2024-03-05 19:42:56,Bestandsverwaltung,Laura Fischer,"5,94",Hitachi,Produkt D,"70,0",online
003,Artikel zusammenstellen,2024-03-05 20:29:56,Lager,Jonas Richter,"12,09",Hitachi,Produkt D,"70,0",Lager C
