Fallnummer,Aktivität,Zeitstempel,Abteilung,Ausführende Person,Kosten (EUR),Kunde,Transportiertes Gut,Produktpreis (EUR),Ort
001,Kunden-Daten aufnehmen,2024-03-15 08:00:00,Auftragsannahme,Lena Mueller,"2,43",General Motors,Produkt J,"75,0",Schalter
001,Kunden-Daten auf Richtigkeit prüfen,2024-03-15 08:38:00,Auftragsannahme,Lena Mueller,"1,86",General Motors,Produkt J,"75,0",Schalter
001,Kunden-Daten in System übertragen,2024-03-15 08:51:00,Auftragsannahme,Lena Mueller,"1,9",General Motors,Produkt J,"75,0",online
001,Zahlvorgang durchführen,2024-03-15 09:36:00,Auftragsannahme,Lena Mueller,"2,91",General Motors,Produkt J,"75,0",Schalter
001,Bestellung im System eintragen,2024-03-15 09:53:00,Auftragsannahme,Lena Mueller,"4,25",General Motors,Produkt J,"75,0",online
001,Lagerbestand überprüfen,2024-03-15 10:06:00,Bestandsverwaltung,Lisa Mueller,"7,86",General Motors,Produkt J,"75,0",online
001,Artikel bestellen,2024-03-15 10:24:00,Bestandsverwaltung,Nico Schmidt,"6,94",General Motors,Produkt J,"75,0",online
001,Information an Kunde über verspätete Lieferzeit verschicken,2024-03-15 11:24:00,Bestandsverwaltung,Lisa Mueller,"2,91",General Motors,Produkt J,"75,0",online
001,Auftragsabwicklung im System starten,2024-03-15 11:32:00,Bestandsverwaltung,Lisa Mueller,"4,22",General Motors,Produkt J,"75,0",online
001,Artikel zusammenstellen,2024-03-15 12:19:00,Lager,Mia Schmitt,"14,87",General Motors,Produkt J,"75,0",Lager A
001,Ware verpacken,2024-03-15 13:02:00,Lager,Mia Schmitt,"4,32",General Motors,Produkt J,"75,0",Lager C
001,Gewicht prüfen,2024-03-15 13:44:00,Qualitätskontrolle,Emilia Wagner,"2,56",General Motors,Produkt J,"75,0",Lager C
001,Anzahl der Artikel überprüfen,2024-03-15 14:06:00,Qualitätskontrolle,Emilia Wagner,"4,43",General Motors,Produkt J,"75,0",Lager C
001,Verpackung prüfen,2024-03-15 14:43:00,Qualitätskontrolle,Emilia Wagner,"3,26",General Motors,Produkt J,"75,0",Lager C
001,Paket zur Warenausgabe bringen,2024-03-15 15:26:00,Warenausgang,David Meyer,"5,46",General Motors,Produkt J,"75,0",Warenausgabe 1
001,Paket an Kunde übergeben,2024-03-15 15:47:00,Warenausgang,David Meyer,"2,17",General Motors,Produkt J,"75,0",Warenausgabe 1
001,Bestellstatus im System ändern,2024-03-15 15:52:00,Warenausgang,David Meyer,"1,84",General Motors,Produkt J,"75,0",Warenausgabe 1
002,Kunden-Daten aufnehmen,2024-03-15 08:01:00,Auftragsannahme,Sarah Schmidt,"2,24",Volkswagen,Produkt S,"90,0",Schalter
002,Kunden-Daten auf Richtigkeit prüfen,2024-03-15 08:45:00,Auftragsannahme,Sarah Schmidt,"1,96",Volkswagen,Produkt S,"90,0",Schalter
002,Kunden-Daten in System übertragen,2024-03-15 09:06:00,Auftragsannahme,Sarah Schmidt,"1,3",Volkswagen,Produkt S,"90,0",online
002,Zahlvorgang durchführen,2024-03-15 09:53:00,Auftragsannahme,Sarah Schmidt,"2,83",Volkswagen,Produkt S,"90,0",Schalter
002,Bestellung im System eintragen,2024-03-15 10:10:00,Auftragsannahme,Sarah Schmidt,"4,2",Volkswagen,Produkt S,"90,0",online
002,Lagerbestand überprüfen,2024-03-15 10:37:00,Bestandsverwaltung,Jan Becker,"2,75",Volkswagen,Produkt S,"90,0",online
