Fallnummer,Aktivität,Zeitstempel,Abteilung,Ausführende Person,Kosten (EUR),Kunde,Transportiertes Gut,Produktpreis (EUR),Ort
001,Kunden-Daten aufnehmen,2024-03-14 08:00:00,Auftragsannahme,Lisa Schulz,"3,74",Siemens,Produkt O,"120,0",Schalter
001,Kunden-Daten auf Richtigkeit prüfen,2024-03-14 08:56:00,Auftragsannahme,Timo Wagner,"1,01",Siemens,Produkt O,"120,0",Schalter
001,Kunden-Daten korrigieren,2024-03-14 09:47:00,Auftragsannahme,Max Mustermann,"3,24",Siemens,Produkt O,"120,0",Schalter
001,Kunden-Daten in System übertragen,2024-03-14 10:05:00,Auftragsannahme,Sarah Schmidt,"1,02",Siemens,Produkt O,"120,0",online
001,Rechnungsadesse aufnehmen,2024-03-14 10:58:00,Auftragsannahme,Sarah Schmidt,"1,65",Siemens,Produkt O,"120,0",Schalter
001,Rechnungsadesse im System eintragen,2024-03-14 11:37:00,Auftragsannahme,Max Mustermann,"2,59",Siemens,Produkt O,"120,0",online
001,Bestellung im System eintragen,2024-03-14 11:39:00,Auftragsannahme,Max Mustermann,"7,77",Siemens,Produkt O,"120,0",online
001,Lagerbestand überprüfen,2024-03-14 11:58:00,Bestandsverwaltung,Laura Fischer,"3,27",Siemens,Produkt O,"120,0",online
001,Auftragsabwicklung im System starten,2024-03-14 11:59:00,Bestandsverwaltung,Nico Schmidt,"5,74",Siemens,Produkt O,"120,0",online
001,Artikel zusammenstellen,2024-03-14 12:52:00,Lager,Jonas Richter,"14,8",Siemens,Produkt O,"120,0",Lager B
001,Ware verpacken,2024-03-14 13:43:00,Lager,Mia Schmitt,"4,43",Siemens,Produkt O,"120,0",Lager C
001,Gewicht prüfen,2024-03-14 14:08:00,Qualitätskontrolle,Emilia Wagner,"2,61",Siemens,Produkt O,"120,0",Lager C
001,Anzahl der Artikel überprüfen,2024-03-14 14:30:00,Qualitätskontrolle,Emilia Wagner,"2,82",Siemens,Produkt O,"120,0",Lager C
001,Verpackung prüfen,2024-03-14 15:19:00,Qualitätskontrolle,Emilia Wagner,"3,42",Siemens,Produkt O,"120,0",Lager C
001,Alte Verpackung entfernen,2024-03-14 15:56:00,Qualitätskontrolle,Emilia Wagner,"5,17",Siemens,Produkt O,"120,0",Lager C
001,Ware neu verpacken,2024-03-14 16:40:00,Qualitätskontrolle,Emilia Wagner,"5,15",Siemens,Produkt O,"120,0",Lager C
001,Bezahlaufforderung an Kunde schicken,2024-03-14 16:56:00,Warenausgang,Emma Weber,"1,15",Siemens,Produkt O,"120,0",online
001,Informationen an Transporteur übermitteln,2024-03-15 08:00:00,Warenausgang,Emma Weber,"5,9",Siemens,Produkt O,"120,0",online
001,Paket an Transporteur übergeben,2024-03-15 08:02:00,Warenausgang,Emma Weber,"6,45",Siemens,Produkt O,"120,0",Warenausgabe 3
001,Bestellstatus im System ändern,2024-03-15 08:20:00,Warenausgang,Emma Weber,"2,58",Siemens,Produkt O,"120,0",online
002,Vollständigkeit der Daten prüfen,2024-03-14 08:05:00,Auftragsannahme,Lisa Schulz,"5,15",General Electric,Produkt L,"140,0",online
002,Fehlende Daten ermitteln,2024-03-14 08:13:00,Auftragsannahme,Sarah Schmidt,"5,81",General Electric,Produkt L,"140,0",online
002,Kunden bzgl. fehlender Daten anschreiben,2024-03-14 09:04:00,Auftragsannahme,Sarah Schmidt,"11,62",General Electric,Produkt L,"140,0",online
002,Bestellung im System eintragen,2024-03-14 09:51:00,Auftragsannahme,Timo Wagner,"5,59",General Electric,Produkt L,"140,0",online
002,Lagerbestand überprüfen,2024-03-14 09:58:00,Bestandsverwaltung,Lisa Mueller,"5,74",General Electric,Produkt L,"140,0",online
002,Auftragsabwicklung im System starten,2024-03-14 10:36:00,Bestandsverwaltung,Nico Schmidt,"4,71",General Electric,Produkt L,"140,0",online
002,Artikel zusammenstellen,2024-03-14 11:19:00,Lager,Jonas Richter,"8,56",General Electric,Produkt L,"140,0",Lager B
002,Ware verpacken,2024-03-14 11:23:00,Lager,Mia Schmitt,"6,9",General Electric,Produkt L,"140,0",Lager C
002,Gewicht prüfen,2024-03-14 12:09:00,Qualitätskontrolle,Noah Becker,"1,73",General Electric,Produkt L,"140,0",Lager C
002,Anzahl der Artikel überprüfen,2024-03-14 12:17:00,Qualitätskontrolle,Noah Becker,"2,0",General Electric,Produkt L,"140,0",Lager C
002,Verpackung prüfen,2024-03-14 13:04:00,Qualitätskontrolle,Noah Becker,"2,46",General Electric,Produkt L,"140,0",Lager C
002,Fehler im System eintragen,2024-03-14 14:03:00,Qualitätskontrolle,Noah Becker,"7,65",General Electric,Produkt L,"140,0",online
002,Bestandsverwaltung informieren,2024-03-14 15:02:00,Qualitätskontrolle,Noah Becker,"2,32",General Electric,Produkt L,"140,0",online
002,Lagerbestand überprüfen,2024-03-14 15:41:00,Bestandsverwaltung,Lisa Mueller,"4,19",General Electric,Produkt L,"140,0",online
002,Auftragsabwicklung im System starten,2024-03-14 15:50:00,Bestandsverwaltung,Laura Fischer,"4,58",General Electric,Produkt L,"140,0",online
002,Artikel zusammenstellen,2024-03-14 16:31:00,Lager,Jonas Richter,"8,47",General Electric,Produkt L,"140,0",Lager A
002,Ware verpacken,2024-03-15 08:00:00,Lager,Jonas Richter,"5,25",General Electric,Produkt L,"140,0",Lager C
002,Gewicht prüfen,2024-03-15 08:51:00,Qualitätskontrolle,Noah Becker,"1,88",General Electric,Produkt L,"140,0",Lager C
002,Anzahl der Artikel überprüfen,2024-03-15 09:09:00,Qualitätskontrolle,Noah Becker,"3,3",General Electric,Produkt L,"140,0",Lager C
002,Verpackung prüfen,2024-03-15 09:17:00,Qualitätskontrolle,Noah Becker,"3,74",General Electric,Produkt L,"140,0",Lager C
002,Informationen an Transporteur übermitteln,2024-03-15 09:52:00,Warenausgang,Sophia Lang,"4,22",General Electric,Produkt L,"140,0",online
002,Paket an Transporteur übergeben,2024-03-15 10:07:00,Warenausgang,Sophia Lang,"10,52",General Electric,Produkt L,"140,0",Warenausgabe 3
002,Bestellstatus im System ändern,2024-03-15 11:06:00,Warenausgang,Sophia Lang,"1,57",General Electric,Produkt L,"140,0",online
