Fallnummer,Aktivität,Zeitstempel,Ausführende Person,Kosten (EUR),Kunde,Transportiertes Gut,Produktpreis (EUR),Abnahmeort,Abgabeort
001,Kunden-Daten aufnehmen,2024-02-26 20:46:21,Timo Wagner,"1,43",General Motors,Produkt C,"80,0",Lager B,Lager D
001,Kunden-Daten in System übertragen,2024-02-26 21:26:21,Noah Becker,"2,54",General Motors,Produkt C,"80,0",Lager F,Lager B
001,Zahlvorgang abschließen,2024-02-26 22:09:21,Mia Schmitt,"3,47",General Motors,Produkt C,"80,0",Lager B,Lager F
001,Bestellung im System eintragen,2024-02-26 23:04:21,David Meyer,"5,85",General Motors,Produkt C,"80,0",Lager D,Lager A
001,Lagerbestand überprüfen,2024-02-26 23:14:21,Sarah Schmidt,"1,91",General Motors,Produkt C,"80,0",Lager E,Lager D
001,Auftragsabwicklung im System starten,2024-02-26 23:15:21,Noah Becker,"5,07",General Motors,Produkt C,"80,0",Lager J,Lager E
001,Artikel zusammenstellen,2024-02-26 23:40:21,Emma Weber,"2,05",General Motors,Produkt C,"80,0",Lager B,Lager E
001,Versicherungs-Bescheinigung dazulegen,2024-02-27 00:12:21,Sophia Lang,"5,67",General Motors,Produkt C,"80,0",Lager C,Lager B
001,Ware verpacken,2024-02-27 01:02:21,Sophia Lang,"5,45",General Motors,Produkt C,"80,0",Lager I,Lager C
001,Gewicht prüfen,2024-02-27 02:02:21,Luca Huber,"1,41",General Motors,Produkt C,"80,0",Lager D,Lager A
001,Anzahl der Artikel überprüfen,2024-02-27 02:07:21,Nico Schmidt,"2,98",General Motors,Produkt C,"80,0",Lager G,Lager D
001,Verpackung prüfen,2024-02-27 02:33:21,Nico Schmidt,"4,27",General Motors,Produkt C,"80,0",Lager B,Lager D
001,Bezahlaufforderung an Kunde schicken,2024-02-27 02:56:21,Timo Wagner,"2,92",General Motors,Produkt C,"80,0",Lager J,Lager E
001,Informationen an Transporteur übermitteln,2024-02-27 03:24:21,Sophia Lang,"4,18",General Motors,Produkt C,"80,0",Lager H,Lager I
001,Paket an Transporteur übergeben,2024-02-27 03:26:21,Nico Schmidt,"8,7",General Motors,Produkt C,"80,0",Lager H,Lager C
001,Bestellstatus im System ändern,2024-02-27 04:04:21,Noah Becker,"2,69",General Motors,Produkt C,"80,0",Lager D,Lager H
002,Vollständigkeit der Daten prüfen,2024-02-26 20:46:21,Lisa Mueller,"3,02",Siemens,Produkt S,"90,0",Lager G,Lager G
002,Fehlende Daten ermitteln,2024-02-26 21:29:21,Laura Fischer,"2,94",Siemens,Produkt S,"90,0",Lager F,Lager G
002,Kunden bzgl. fehlender Daten anschreiben,2024-02-26 22:17:21,Laura Fischer,"6,52",Siemens,Produkt S,"90,0",Lager E,Lager E
002,Bestellung im System eintragen,2024-02-26 22:43:21,Jonas Richter,"5,82",Siemens,Produkt S,"90,0",Lager J,Lager B
002,Lagerbestand überprüfen,2024-02-26 22:44:21,Sarah Schmidt,"1,81",Siemens,Produkt S,"90,0",Lager A,Lager I
002,Auftragsabwicklung im System starten,2024-02-26 22:46:21,Hannah Meyer,"8,62",Siemens,Produkt S,"90,0",Lager F,Lager C
002,Artikel zusammenstellen,2024-02-26 23:29:21,Leonie Richter,"4,62",Siemens,Produkt S,"90,0",Lager G,Lager H
002,Ware verpacken,2024-02-26 23:55:21,Mia Schmitt,"7,51",Siemens,Produkt S,"90,0",Lager H,Lager B
002,Gewicht prüfen,2024-02-27 00:14:21,Nico Schmidt,"1,35",Siemens,Produkt S,"90,0",Lager D,Lager I
002,Anzahl der Artikel überprüfen,2024-02-27 00:57:21,Sophia Lang,"2,49",Siemens,Produkt S,"90,0",Lager G,Lager G
002,Verpackung prüfen,2024-02-27 01:20:21,Jan Becker,"5,79",Siemens,Produkt S,"90,0",Lager B,Lager G
002,Bezahlaufforderung an Kunde schicken,2024-02-27 02:12:21,Luca Huber,"5,34",Siemens,Produkt S,"90,0",Lager I,Lager C
002,Bezahlaufforderung an Kunde schicken,2024-02-27 02:16:21,Mia Schmitt,"3,94",Siemens,Produkt S,"90,0",Lager G,Lager J
002,Informationen an Transporteur übermitteln,2024-02-27 02:23:21,Sarah Schmidt,"7,12",Siemens,Produkt S,"90,0",Lager J,Lager I
002,Paket an Transporteur übergeben,2024-02-27 03:00:21,Max Mustermann,"2,95",Siemens,Produkt S,"90,0",Lager G,Lager C
002,Bestellstatus im System ändern,2024-02-27 03:01:21,David Meyer,"2,62",Siemens,Produkt S,"90,0",Lager H,Lager F
003,Vollständigkeit der Daten prüfen,2024-02-26 20:46:21,Jonas Richter,"2,86",PepsiCo,Produkt H,"130,0",Lager B,Lager A
003,Bestellung im System eintragen,2024-02-26 21:01:21,Max Mustermann,"8,19",PepsiCo,Produkt H,"130,0",Lager A,Lager A
003,Lagerbestand überprüfen,2024-02-26 21:49:21,Paul Zimmer,"1,74",PepsiCo,Produkt H,"130,0",Lager I,Lager I
003,Artikel bestellen,2024-02-26 21:56:21,Lena Mueller,"1,18",PepsiCo,Produkt H,"130,0",Lager J,Lager D
003,Information an Kunde über verspätetet Lieferzeit verschicken,2024-02-26 22:43:21,Hannah Meyer,"4,13",PepsiCo,Produkt H,"130,0",Lager A,Lager F
003,Auftragsabwicklung im System starten,2024-02-26 23:07:21,Lena Mueller,"8,95",PepsiCo,Produkt H,"130,0",Lager G,Lager C
003,Artikel zusammenstellen,2024-02-26 23:14:21,Hannah Meyer,"4,45",PepsiCo,Produkt H,"130,0",Lager D,Lager G
003,Ware verpacken,2024-02-26 23:16:21,Jan Becker,"4,67",PepsiCo,Produkt H,"130,0",Lager F,Lager A
003,Gewicht prüfen,2024-02-26 23:48:21,Luca Huber,"2,52",PepsiCo,Produkt H,"130,0",Lager J,Lager C
003,Anzahl der Artikel überprüfen,2024-02-26 23:54:21,Timo Wagner,"3,04",PepsiCo,Produkt H,"130,0",Lager I,Lager H
003,Verpackung prüfen,2024-02-27 00:35:21,Max Mustermann,"4,08",PepsiCo,Produkt H,"130,0",Lager D,Lager G
003,Paket zur Warenausgabe bringen,2024-02-27 01:29:21,Sophia Lang,"4,67",PepsiCo,Produkt H,"130,0",Lager G,Lager G
003,Paket an Kunde übergeben,2024-02-27 02:03:21,Timo Wagner,"7,83",PepsiCo,Produkt H,"130,0",Lager B,Lager G
003,Bestellstatus im System ändern,2024-02-27 02:42:21,Max Mustermann,"2,41",PepsiCo,Produkt H,"130,0",Lager H,Lager E
004,Kunden-Daten aufnehmen,2024-02-26 20:46:21,Emma Weber,"2,36",Procter & Gamble,Produkt N,"75,0",Lager D,Lager J
004,Kunden-Daten in System übertragen,2024-02-26 21:03:21,Max Mustermann,"3,34",Procter & Gamble,Produkt N,"75,0",Lager E,Lager F
004,Zahlvorgang abschließen,2024-02-26 21:56:21,Jonas Richter,"4,56",Procter & Gamble,Produkt N,"75,0",Lager C,Lager D
004,Bestellung im System eintragen,2024-02-26 22:15:21,Emilia Wagner,"7,15",Procter & Gamble,Produkt N,"75,0",Lager C,Lager E
004,Lagerbestand überprüfen,2024-02-26 22:50:21,Emma Weber,"2,66",Procter & Gamble,Produkt N,"75,0",Lager A,Lager I
004,Auftragsabwicklung im System starten,2024-02-26 23:04:21,Leonie Richter,"7,57",Procter & Gamble,Produkt N,"75,0",Lager I,Lager I
004,Artikel zusammenstellen,2024-02-26 23:30:21,Timo Wagner,"5,98",Procter & Gamble,Produkt N,"75,0",Lager C,Lager G
004,Ware verpacken,2024-02-27 00:00:21,Emilia Wagner,"6,32",Procter & Gamble,Produkt N,"75,0",Lager J,Lager G
004,Gewicht prüfen,2024-02-27 00:10:21,Noah Becker,"2,12",Procter & Gamble,Produkt N,"75,0",Lager I,Lager D
004,Anzahl der Artikel überprüfen,2024-02-27 00:48:21,Timo Wagner,"2,85",Procter & Gamble,Produkt N,"75,0",Lager B,Lager B
004,Verpackung prüfen,2024-02-27 01:20:21,Emma Weber,"4,01",Procter & Gamble,Produkt N,"75,0",Lager J,Lager G
004,Paket zur Warenausgabe bringen,2024-02-27 01:26:21,Luca Huber,"6,69",Procter & Gamble,Produkt N,"75,0",Lager H,Lager C
004,Zahlungsabwicklung durchführen,2024-02-27 02:11:21,Laura Fischer,"8,06",Procter & Gamble,Produkt N,"75,0",Lager F,Lager A
004,Paket an Kunde übergeben,2024-02-27 02:24:21,Emma Weber,"6,65",Procter & Gamble,Produkt N,"75,0",Lager H,Lager F
004,Bestellstatus im System ändern,2024-02-27 02:59:21,Sophia Lang,"2,13",Procter & Gamble,Produkt N,"75,0",Lager D,Lager I
005,Vollständigkeit der Daten prüfen,2024-02-26 20:46:21,Nico Schmidt,"6,22",Intel,Produkt Q,"110,0",Lager G,Lager A
005,Bestellung im System eintragen,2024-02-26 20:55:21,Max Mustermann,"4,68",Intel,Produkt Q,"110,0",Lager C,Lager D
005,Lagerbestand überprüfen,2024-02-26 21:23:21,Lisa Mueller,"2,31",Intel,Produkt Q,"110,0",Lager E,Lager A
005,Auftragsabwicklung im System starten,2024-02-26 22:22:21,Emilia Wagner,"8,25",Intel,Produkt Q,"110,0",Lager J,Lager J
005,Artikel zusammenstellen,2024-02-26 22:40:21,Mia Schmitt,"3,27",Intel,Produkt Q,"110,0",Lager D,Lager G
005,Versicherungs-Bescheinigung dazulegen,2024-02-26 22:47:21,David Meyer,"9,65",Intel,Produkt Q,"110,0",Lager F,Lager B
005,Ware verpacken,2024-02-26 23:14:21,David Meyer,"3,16",Intel,Produkt Q,"110,0",Lager J,Lager G
005,Gewicht prüfen,2024-02-26 23:27:21,Luca Huber,"2,6",Intel,Produkt Q,"110,0",Lager B,Lager C
005,Anzahl der Artikel überprüfen,2024-02-26 23:45:21,Leonie Richter,"4,65",Intel,Produkt Q,"110,0",Lager D,Lager H
005,Verpackung prüfen,2024-02-26 23:48:21,Sophia Lang,"6,74",Intel,Produkt Q,"110,0",Lager F,Lager E
005,Paket zur Warenausgabe bringen,2024-02-27 00:21:21,Sophia Lang,"5,81",Intel,Produkt Q,"110,0",Lager C,Lager H
005,Paket an Kunde übergeben,2024-02-27 00:45:21,Jonas Richter,"9,08",Intel,Produkt Q,"110,0",Lager A,Lager F
005,Bestellstatus im System ändern,2024-02-27 01:19:21,Emma Weber,"1,54",Intel,Produkt Q,"110,0",Lager G,Lager E
006,Kunden-Daten aufnehmen,2024-02-26 20:46:21,Luca Huber,"1,63",Mitsubishi Electric,Produkt L,"140,0",Lager E,Lager D
006,Kunden-Daten in System übertragen,2024-02-26 21:04:21,Sophia Lang,"3,63",Mitsubishi Electric,Produkt L,"140,0",Lager H,Lager C
006,Zahlvorgang abschließen,2024-02-26 21:11:21,Emilia Wagner,"4,52",Mitsubishi Electric,Produkt L,"140,0",Lager A,Lager I
006,Bestellung im System eintragen,2024-02-26 22:02:21,Sarah Schmidt,"7,94",Mitsubishi Electric,Produkt L,"140,0",Lager J,Lager H
006,Lagerbestand überprüfen,2024-02-26 22:43:21,Luca Huber,"1,44",Mitsubishi Electric,Produkt L,"140,0",Lager B,Lager J
006,Auftragsabwicklung im System starten,2024-02-26 22:45:21,Lisa Schulz,"8,42",Mitsubishi Electric,Produkt L,"140,0",Lager D,Lager D
006,Artikel zusammenstellen,2024-02-26 23:42:21,Luca Huber,"4,82",Mitsubishi Electric,Produkt L,"140,0",Lager H,Lager J
006,Versicherungs-Bescheinigung dazulegen,2024-02-27 00:22:21,Hannah Meyer,"5,06",Mitsubishi Electric,Produkt L,"140,0",Lager G,Lager A
006,Ware verpacken,2024-02-27 00:54:21,Lisa Schulz,"5,39",Mitsubishi Electric,Produkt L,"140,0",Lager C,Lager C
006,Gewicht prüfen,2024-02-27 01:08:21,Timo Wagner,"1,08",Mitsubishi Electric,Produkt L,"140,0",Lager H,Lager J
006,Anzahl der Artikel überprüfen,2024-02-27 01:53:21,Lisa Schulz,"2,12",Mitsubishi Electric,Produkt L,"140,0",Lager H,Lager F
006,Verpackung prüfen,2024-02-27 01:57:21,Max Mustermann,"5,23",Mitsubishi Electric,Produkt L,"140,0",Lager J,Lager B
006,Paket zur Warenausgabe bringen,2024-02-27 02:46:21,Emilia Wagner,"5,67",Mitsubishi Electric,Produkt L,"140,0",Lager F,Lager I
006,Zahlungsabwicklung durchführen,2024-02-27 02:54:21,Mia Schmitt,"11,09",Mitsubishi Electric,Produkt L,"140,0",Lager A,Lager G
006,Paket an Kunde übergeben,2024-02-27 03:50:21,Hannah Meyer,"8,55",Mitsubishi Electric,Produkt L,"140,0",Lager C,Lager F
006,Bestellstatus im System ändern,2024-02-27 03:56:21,David Meyer,"1,38",Mitsubishi Electric,Produkt L,"140,0",Lager C,Lager B
007,Kunden-Daten aufnehmen,2024-02-26 20:46:21,Emma Weber,"1,8",Sony,Produkt S,"90,0",Lager B,Lager J
007,Kunden-Daten in System übertragen,2024-02-26 21:07:21,Lisa Schulz,"2,44",Sony,Produkt S,"90,0",Lager C,Lager F
007,Zahlvorgang abschließen,2024-02-26 21:36:21,Lisa Mueller,"4,41",Sony,Produkt S,"90,0",Lager B,Lager B
007,Bestellung im System eintragen,2024-02-26 22:09:21,Paul Zimmer,"5,41",Sony,Produkt S,"90,0",Lager F,Lager I
007,Lagerbestand überprüfen,2024-02-26 22:59:21,Emilia Wagner,"2,48",Sony,Produkt S,"90,0",Lager E,Lager D
007,Auftragsabwicklung im System starten,2024-02-26 23:12:21,Paul Zimmer,"9,18",Sony,Produkt S,"90,0",Lager B,Lager H
007,Artikel zusammenstellen,2024-02-27 00:00:21,Timo Wagner,"2,53",Sony,Produkt S,"90,0",Lager F,Lager E
007,Versicherungs-Bescheinigung dazulegen,2024-02-27 01:00:21,Emma Weber,"8,06",Sony,Produkt S,"90,0",Lager C,Lager H
007,Ware verpacken,2024-02-27 01:54:21,Leonie Richter,"7,6",Sony,Produkt S,"90,0",Lager A,Lager I
007,Gewicht prüfen,2024-02-27 02:26:21,David Meyer,"2,58",Sony,Produkt S,"90,0",Lager E,Lager D
007,Anzahl der Artikel überprüfen,2024-02-27 02:43:21,Sophia Lang,"3,83",Sony,Produkt S,"90,0",Lager C,Lager E
007,Verpackung prüfen,2024-02-27 02:47:21,David Meyer,"4,61",Sony,Produkt S,"90,0",Lager E,Lager D
007,Bezahlaufforderung an Kunde schicken,2024-02-27 02:55:21,David Meyer,"3,35",Sony,Produkt S,"90,0",Lager J,Lager E
007,Informationen an Transporteur übermitteln,2024-02-27 03:44:21,Noah Becker,"8,25",Sony,Produkt S,"90,0",Lager C,Lager F
007,Paket an Transporteur übergeben,2024-02-27 03:55:21,Sarah Schmidt,"4,54",Sony,Produkt S,"90,0",Lager H,Lager D
007,Bestellstatus im System ändern,2024-02-27 04:40:21,Hannah Meyer,"1,62",Sony,Produkt S,"90,0",Lager G,Lager D
008,Kunden-Daten aufnehmen,2024-02-26 20:46:21,Emilia Wagner,"2,97",PepsiCo,Produkt S,"90,0",Lager B,Lager B
008,Kunden-Daten in System übertragen,2024-02-26 21:10:21,Paul Zimmer,"2,3",PepsiCo,Produkt S,"90,0",Lager A,Lager J
008,Zahlvorgang abschließen,2024-02-26 22:06:21,Nico Schmidt,"3,78",PepsiCo,Produkt S,"90,0",Lager C,Lager D
008,Bestellung im System eintragen,2024-02-26 22:48:21,Lena Mueller,"5,78",PepsiCo,Produkt S,"90,0",Lager C,Lager J
008,Lagerbestand überprüfen,2024-02-26 22:56:21,Paul Zimmer,"2,45",PepsiCo,Produkt S,"90,0",Lager H,Lager C
008,Auftragsabwicklung im System starten,2024-02-26 23:27:21,Leonie Richter,"9,08",PepsiCo,Produkt S,"90,0",Lager J,Lager E
008,Artikel zusammenstellen,2024-02-26 23:31:21,David Meyer,"2,91",PepsiCo,Produkt S,"90,0",Lager J,Lager E
008,Ware verpacken,2024-02-27 00:05:21,Sarah Schmidt,"5,08",PepsiCo,Produkt S,"90,0",Lager D,Lager J
008,Gewicht prüfen,2024-02-27 00:55:21,Nico Schmidt,"1,76",PepsiCo,Produkt S,"90,0",Lager C,Lager C
008,Anzahl der Artikel überprüfen,2024-02-27 01:23:21,Timo Wagner,"2,14",PepsiCo,Produkt S,"90,0",Lager C,Lager E
008,Verpackung prüfen,2024-02-27 01:52:21,Jan Becker,"4,56",PepsiCo,Produkt S,"90,0",Lager A,Lager A
008,Fehler im System eintrgen,2024-02-27 02:39:21,Lisa Schulz,"9,95",PepsiCo,Produkt S,"90,0",Lager C,Lager I
008,Bestandsverwaltung informieren,2024-02-27 02:54:21,Laura Fischer,"3,11",PepsiCo,Produkt S,"90,0",Lager H,Lager I
008,Lagerbestand überprüfen,2024-02-27 03:26:21,Hannah Meyer,"1,24",PepsiCo,Produkt S,"90,0",Lager J,Lager C
008,Auftragsabwicklung im System starten,2024-02-27 03:49:21,Hannah Meyer,"8,26",PepsiCo,Produkt S,"90,0",Lager F,Lager F
008,Artikel zusammenstellen,2024-02-27 04:08:21,Sarah Schmidt,"4,26",PepsiCo,Produkt S,"90,0",Lager I,Lager D
008,Ware verpacken,2024-02-27 04:58:21,Emilia Wagner,"7,49",PepsiCo,Produkt S,"90,0",Lager I,Lager E
008,Gewicht prüfen,2024-02-27 05:28:21,Paul Zimmer,"2,15",PepsiCo,Produkt S,"90,0",Lager F,Lager H
