Fallnummer,Aktivität,Zeitstempel,Ausführende Person,Kosten (EUR),Transportiertes Gut,Produktpreis (EUR),Kunde,Abnahmeort,Abgabeort
001,Ware beim Kunden angekommen,01/12/2019 12:01:00,Jan Becker,73.83,Produkt I,90.0,Firma12,Lager H,Lager I
004,Ware retourniert,01/12/2019 12:02:00,Laura Fischer,12.85,Produkt N,75.0,Firma6,Lager E,Lager I
007,Werbekampagne gestartet,01/12/2019 12:03:00,Leonie Richter,22.84,Produkt J,75.0,Firma7,Lager H,Lager I
006,Rückverfolgbarkeitsprüfung,01/12/2019 12:04:00,Sarah Schmidt,21.84,Produkt Q,110.0,Firma7,Lager H,Lager E
009,Reparatur durchgeführt,01/12/2019 12:05:00,Nico Schmidt,64.13,Produkt A,100.0,Firma10,Lager C,Lager H
002,Rechnung erstellt,01/12/2019 12:06:00,Lisa Schulz,75.35,Produkt O,120.0,Firma13,Lager G,Lager D
002,Ware entsorgt,01/12/2019 12:07:00,Mia Schmitt,43.78,Produkt I,90.0,Firma4,Lager B,Lager C
002,Ware versandt,01/12/2019 12:08:00,Mia Schmitt,84.88,Produkt Q,110.0,Firma6,Lager C,Lager A
008,Ware entsorgt,01/12/2019 12:09:00,Lena Mueller,97.43,Produkt Q,110.0,Firma5,Lager E,Lager E
001,Ware verpackt,01/12/2019 12:10:00,Lisa Mueller,10.98,Produkt A,100.0,Firma14,Lager G,Lager I
008,Ware umgeladen,01/12/2019 12:11:00,Emilia Wagner,80.15,Produkt F,110.0,Firma9,Lager A,Lager C
004,Ware aus Lager geholt,01/12/2019 12:12:00,Paul Zimmer,23.18,Produkt L,140.0,Firma7,Lager J,Lager E
002,Ware zur Produktion gebracht,01/12/2019 12:13:00,Luca Huber,89.97,Produkt T,85.0,Firma20,Lager B,Lager B
005,Rechnung erstellt,01/12/2019 12:14:00,Lena Mueller,59.21,Produkt N,75.0,Firma2,Lager G,Lager I
