Fallnummer,Aktivität,Zeitstempel,Ausführende Person,Kosten (EUR),Transportiertes Gut,Produktpreis (EUR),Kunde,Abnahmeort,Abgabeort
006,Auftrag eingegangen,2024-02-11 16:22:26,Jonas Richter,110.0,P,110.0,Firma20,Lager B,Lager F
006,Ware aus Lager geholt,2024-02-11 16:58:26,Nico Schmidt,150.0,P,150.0,Firma8,Lager C,Lager J
006,Ware zum Versand vorbereitet,2024-02-11 17:00:26,David Meyer,130.0,P,130.0,Firma17,Lager J,Lager G
006,Ware versandt,2024-02-11 17:09:26,Mia Schmitt,70.0,P,70.0,Firma3,Lager D,Lager C
007,Auftrag eingegangen,2024-02-11 16:47:26,Mia Schmitt,85.0,P,85.0,Firma12,Lager J,Lager F
007,Ware aus Lager geholt,2024-02-11 16:43:26,Max Mustermann,140.0,P,140.0,Firma8,Lager B,Lager F
007,Ware zum Versand vorbereitet,2024-02-11 16:35:26,Emma Weber,110.0,P,110.0,Firma11,Lager F,Lager F
007,Ware versandt,2024-02-11 17:17:26,Laura Fischer,95.0,P,95.0,Firma8,Lager B,Lager E
004,Auftrag eingegangen,2024-02-11 16:48:26,Timo Wagner,95.0,P,95.0,Firma9,Lager H,Lager B
004,Ware zur Produktion gebracht,2024-02-11 16:50:26,Mia Schmitt,85.0,P,85.0,Firma15,Lager H,Lager G
004,Ware hergestellt,2024-02-11 17:17:26,Mia Schmitt,110.0,P,110.0,Firma8,Lager J,Lager F
004,Ware verpackt,2024-02-11 17:03:26,Max Mustermann,110.0,P,110.0,Firma7,Lager F,Lager G
004,Ware versandt,2024-02-11 16:27:26,David Meyer,100.0,P,100.0,Firma8,Lager J,Lager J
008,Auftrag eingegangen,2024-02-11 16:20:26,Sarah Schmidt,85.0,P,85.0,Firma10,Lager B,Lager H
008,Ware aus Lager geholt,2024-02-11 17:07:26,Jan Becker,100.0,P,100.0,Firma6,Lager B,Lager B
008,Ware zum Versand vorbereitet,2024-02-11 17:14:26,Sarah Schmidt,140.0,P,140.0,Firma1,Lager E,Lager J
008,Ware versandt,2024-02-11 16:53:26,Sophia Lang,120.0,P,120.0,Firma6,Lager F,Lager E
007,Auftrag eingegangen,2024-02-11 16:48:26,Timo Wagner,100.0,P,100.0,Firma10,Lager I,Lager J
007,Ware zur Produktion gebracht,2024-02-11 16:58:26,Leonie Richter,110.0,P,110.0,Firma15,Lager C,Lager C
007,Ware hergestellt,2024-02-11 16:49:26,Luca Huber,95.0,P,95.0,Firma2,Lager H,Lager F
007,Ware verpackt,2024-02-11 17:12:26,Lisa Mueller,75.0,P,75.0,Firma12,Lager B,Lager H
007,Ware versandt,2024-02-11 16:22:26,Laura Fischer,150.0,P,150.0,Firma6,Lager B,Lager D
003,Auftrag eingegangen,2024-02-11 16:30:26,Lisa Schulz,120.0,P,120.0,Firma8,Lager D,Lager H
003,Ware zur Produktion gebracht,2024-02-11 16:55:26,Timo Wagner,140.0,P,140.0,Firma6,Lager F,Lager C
003,Ware hergestellt,2024-02-11 16:40:26,Jan Becker,120.0,P,120.0,Firma2,Lager B,Lager E
003,Ware verpackt,2024-02-11 16:51:26,Jonas Richter,110.0,P,110.0,Firma20,Lager A,Lager D
003,Ware versandt,2024-02-11 16:32:26,Emilia Wagner,130.0,P,130.0,Firma19,Lager E,Lager C
005,Auftrag eingegangen,2024-02-11 16:56:26,Mia Schmitt,75.0,P,75.0,Firma4,Lager D,Lager F
005,Ware aus Lager geholt,2024-02-11 16:58:26,Emma Weber,110.0,P,110.0,Firma11,Lager F,Lager A
005,Ware zum Versand vorbereitet,2024-02-11 16:34:26,David Meyer,120.0,P,120.0,Firma6,Lager A,Lager D
005,Ware versandt,2024-02-11 17:01:26,Luca Huber,70.0,P,70.0,Firma8,Lager E,Lager E
007,Auftrag eingegangen,2024-02-11 17:00:26,Paul Zimmer,95.0,P,95.0,Firma6,Lager D,Lager A
007,Ware aus Lager geholt,2024-02-11 16:51:26,Nico Schmidt,100.0,P,100.0,Firma11,Lager H,Lager G
007,Ware zum Versand vorbereitet,2024-02-11 16:53:26,Laura Fischer,150.0,P,150.0,Firma7,Lager B,Lager F
007,Ware versandt,2024-02-11 16:31:26,Noah Becker,100.0,P,100.0,Firma9,Lager E,Lager H
005,Auftrag eingegangen,2024-02-11 16:33:26,David Meyer,150.0,P,150.0,Firma11,Lager B,Lager J
005,Ware zur Produktion gebracht,2024-02-11 17:03:26,Hannah Meyer,95.0,P,95.0,Firma5,Lager F,Lager G
005,Ware hergestellt,2024-02-11 16:31:26,Timo Wagner,130.0,P,130.0,Firma5,Lager D,Lager A
005,Ware verpackt,2024-02-11 17:04:26,Lisa Mueller,120.0,P,120.0,Firma13,Lager H,Lager F
005,Ware versandt,2024-02-11 16:57:26,Timo Wagner,85.0,P,85.0,Firma14,Lager F,Lager C
008,Auftrag eingegangen,2024-02-11 16:54:26,Luca Huber,120.0,P,120.0,Firma17,Lager E,Lager D
008,Ware aus Lager geholt,2024-02-11 17:17:26,Sophia Lang,110.0,P,110.0,Firma11,Lager F,Lager B
008,Ware zum Versand vorbereitet,2024-02-11 16:22:26,Timo Wagner,110.0,P,110.0,Firma20,Lager H,Lager G
008,Ware versandt,2024-02-11 17:05:26,Leonie Richter,110.0,P,110.0,Firma17,Lager J,Lager H
003,Auftrag eingegangen,2024-02-11 16:34:26,Emma Weber,120.0,P,120.0,Firma16,Lager G,Lager F
