Fallnummer,Aktivität,Zeitstempel,Ausführende Person,Kosten (EUR),Transportiertes Gut,Produktpreis (EUR),Kunde,Abnahmeort,Abgabeort
001,Angebot erstellt,2024-02-11 16:56:05,Leonie Richter,55.42,Produkt S,90.0,Firma11,Lager J,Lager I
001,Vertragsverhandlungen geführt,2024-02-11 17:55:05,Lisa Mueller,38.9,Produkt F,110.0,Firma3,Lager E,Lager H
001,Bestellung aufgenommen,2024-02-11 17:59:05,Max Mustermann,86.01,Produkt E,150.0,Firma19,Lager J,Lager F
001,Rechnung versendet,2024-02-11 18:42:05,Paul Zimmer,71.66,Produkt S,90.0,Firma17,Lager H,Lager I
001,Zahlung erhalten,2024-02-11 19:29:05,Laura Fischer,88.38,Produkt P,100.0,Firma12,Lager I,Lager B
001,Ware direkt verkauft,2024-02-11 20:03:05,Timo Wagner,99.68,Produkt H,130.0,Firma18,Lager H,Lager D
002,Ware beim Kunden angekommen,2024-02-11 16:56:05,Max Mustermann,94.77,Produkt P,100.0,Firma18,Lager E,Lager E
002,Ware retourniert,2024-02-11 17:29:05,Noah Becker,54.85,Produkt M,95.0,Firma5,Lager H,Lager B
002,Rücksendung geprüft,2024-02-11 17:47:05,Leonie Richter,68.99,Produkt H,130.0,Firma12,Lager D,Lager A
002,Reparatur durchgeführt,2024-02-11 18:07:05,Luca Huber,79.0,Produkt M,95.0,Firma1,Lager C,Lager E
002,Ware erneut versandt,2024-02-11 19:07:05,Sophia Lang,43.04,Produkt Q,110.0,Firma10,Lager J,Lager A
003,Auftrag eingegangen,2024-02-11 16:56:05,Jonas Richter,18.34,Produkt Q,110.0,Firma8,Lager F,Lager D
003,Ware aus Lager geholt,2024-02-11 17:02:05,Jonas Richter,95.99,Produkt A,100.0,Firma16,Lager E,Lager B
003,Qualitätskontrolle durchgeführt,2024-02-11 17:50:05,David Meyer,61.81,Produkt J,75.0,Firma3,Lager H,Lager G
003,Ware zum Versand vorbereitet,2024-02-11 18:45:05,Jan Becker,93.53,Produkt K,110.0,Firma13,Lager E,Lager G
003,Ware versandt,2024-02-11 19:18:05,Leonie Richter,65.9,Produkt F,110.0,Firma17,Lager F,Lager C
004,Ware beim Kunden angekommen,2024-02-11 16:56:05,Max Mustermann,48.54,Produkt G,95.0,Firma6,Lager H,Lager A
004,Ware retourniert,2024-02-11 17:56:05,Jonas Richter,77.16,Produkt J,75.0,Firma7,Lager D,Lager G
004,Rücksendung geprüft,2024-02-11 18:37:05,Luca Huber,42.67,Produkt Q,110.0,Firma18,Lager F,Lager G
004,Reparatur durchgeführt,2024-02-11 18:59:05,Sarah Schmidt,15.77,Produkt A,100.0,Firma5,Lager I,Lager C
004,Ware erneut versandt,2024-02-11 19:14:05,Nico Schmidt,71.59,Produkt F,110.0,Firma9,Lager J,Lager E
005,Auftrag eingegangen,2024-02-11 16:56:05,Sophia Lang,32.57,Produkt G,95.0,Firma15,Lager J,Lager J
005,Ware zur Produktion gebracht,2024-02-11 17:56:05,Sophia Lang,68.9,Produkt D,70.0,Firma5,Lager A,Lager D
