Fallnummer,Aktivität,Zeitstempel,Ausführende Person,Kosten (EUR),Transportiertes Gut,Produktpreis (EUR),Kunde,Abnahmeort,Abgabeort
005,Kundensupport angefragt,01/12/2019 12:01:00,Sarah Schmidt,95.1,Produkt M,95.0,Firma2,Lager F,Lager B
008,Ware wiederverkauft,01/12/2019 12:02:00,Laura Fischer,85.49,Produkt C,80.0,Firma4,Lager A,Lager J
001,Ware aus Lager geholt,01/12/2019 12:03:00,Emilia Wagner,32.41,Produkt A,100.0,Firma2,Lager A,Lager I
008,Ware versandt,01/12/2019 12:04:00,Lena Mueller,83.48,Produkt A,100.0,Firma6,Lager G,Lager F
009,Ware umgeladen,01/12/2019 12:05:00,David Meyer,81.09,Produkt G,95.0,Firma17,Lager I,Lager G
002,Ware hergestellt,01/12/2019 12:06:00,Sophia Lang,64.19,Produkt A,100.0,Firma13,Lager D,Lager C
007,Ware verpackt,01/12/2019 12:07:00,Leonie Richter,63.85,Produkt G,95.0,Firma1,Lager A,Lager H
010,Rechnung bezahlt,01/12/2019 12:08:00,Max Mustermann,67.93,Produkt D,70.0,Firma4,Lager A,Lager D
006,Ware beim Kunden angekommen,01/12/2019 12:09:00,Paul Zimmer,20.43,Produkt A,100.0,Firma20,Lager I,Lager D
010,Personal geschult,01/12/2019 12:10:00,Lisa Schulz,8.18,Produkt C,80.0,Firma18,Lager E,Lager A
010,Ware zur Produktion gebracht,01/12/2019 12:11:00,Laura Fischer,28.9,Produkt M,95.0,Firma2,Lager I,Lager D
007,Ware gelagert,01/12/2019 12:12:00,Mia Schmitt,65.79,Produkt Q,110.0,Firma5,Lager B,Lager C
001,Ware wiederverkauft,01/12/2019 12:13:00,David Meyer,85.73,Produkt R,130.0,Firma4,Lager G,Lager B
008,Ware aus Lager geholt,01/12/2019 12:14:00,Sarah Schmidt,87.97,Produkt N,75.0,Firma9,Lager J,Lager C
010,Lieferanten kontaktiert,01/12/2019 12:15:00,Jan Becker,62.3,Produkt K,110.0,Firma7,Lager C,Lager F
002,Kundensupport angefragt,01/12/2019 12:16:00,Jan Becker,91.76,Produkt T,85.0,Firma3,Lager C,Lager I
007,Ware umgeladen,01/12/2019 12:17:00,Emma Weber,87.97,Produkt J,75.0,Firma9,Lager C,Lager I
001,Marketingaktion durchgeführt,01/12/2019 12:18:00,Jan Becker,86.21,Produkt O,120.0,Firma12,Lager F,Lager I
007,Auftrag eingegangen,01/12/2019 12:19:00,Hannah Meyer,79.15,Produkt D,70.0,Firma10,Lager C,Lager F
007,Rückverfolgbarkeitsprüfung,01/12/2019 12:20:00,Sarah Schmidt,29.03,Produkt J,75.0,Firma4,Lager G,Lager D
009,Zahlung erhalten,01/12/2019 12:21:00,Hannah Meyer,63.59,Produkt N,75.0,Firma15,Lager E,Lager A
005,Bestellung aufgenommen,01/12/2019 12:22:00,Laura Fischer,15.64,Produkt Q,110.0,Firma3,Lager D,Lager D
002,Preisverhandlungen geführt,01/12/2019 12:23:00,Mia Schmitt,60.86,Produkt L,140.0,Firma9,Lager I,Lager F
003,Zahlung erhalten,01/12/2019 12:24:00,Jonas Richter,71.49,Produkt R,130.0,Firma12,Lager H,Lager D
007,Vertragsverhandlungen geführt,01/12/2019 12:25:00,David Meyer,61.3,Produkt T,85.0,Firma15,Lager G,Lager C
005,Ware gelagert,01/12/2019 12:26:00,Lisa Mueller,27.03,Produkt F,110.0,Firma3,Lager F,Lager F
002,Ware zur Produktion gebracht,01/12/2019 12:27:00,Sophia Lang,59.09,Produkt L,140.0,Firma15,Lager A,Lager J
006,Rechnung versendet,01/12/2019 12:28:00,Leonie Richter,26.23,Produkt N,75.0,Firma4,Lager B,Lager I
008,Marketingaktion durchgeführt,01/12/2019 12:29:00,Lisa Mueller,96.53,Produkt Q,110.0,Firma1,Lager D,Lager A
004,Personal geschult,01/12/2019 12:30:00,David Meyer,99.38,Produkt E,150.0,Firma2,Lager E,Lager F
001,Preisverhandlungen geführt,01/12/2019 12:31:00,Mia Schmitt,93.17,Produkt S,90.0,Firma7,Lager H,Lager F
007,Angebot erstellt,01/12/2019 12:32:00,Nico Schmidt,46.57,Produkt H,130.0,Firma16,Lager H,Lager H
007,Preisverhandlungen geführt,01/12/2019 12:33:00,Max Mustermann,46.14,Produkt L,140.0,Firma3,Lager C,Lager C
003,Vertragsverhandlungen geführt,01/12/2019 12:34:00,Luca Huber,36.77,Produkt M,95.0,Firma13,Lager D,Lager E
007,Auftrag eingegangen,01/12/2019 12:35:00,Lisa Mueller,71.3,Produkt S,90.0,Firma6,Lager D,Lager E
008,Auftrag eingegangen,01/12/2019 12:36:00,Sarah Schmidt,88.42,Produkt R,130.0,Firma12,Lager A,Lager A
007,Qualitätskontrolle durchgeführt,01/12/2019 12:37:00,Jan Becker,7.01,Produkt A,100.0,Firma1,Lager H,Lager G
007,Angebot erstellt,01/12/2019 12:38:00,Emilia Wagner,74.39,Produkt C,80.0,Firma3,Lager F,Lager J
002,Produktionsplanung erstellt,01/12/2019 12:39:00,Emilia Wagner,82.93,Produkt E,150.0,Firma13,Lager G,Lager E
006,Ware entsorgt,01/12/2019 12:40:00,Sarah Schmidt,37.71,Produkt C,80.0,Firma7,Lager E,Lager B
001,Bestellung aufgenommen,01/12/2019 12:41:00,Noah Becker,54.8,Produkt S,90.0,Firma3,Lager A,Lager C
005,Rechnung bezahlt,01/12/2019 12:42:00,Emma Weber,76.37,Produkt P,100.0,Firma5,Lager H,Lager D
005,Ware versandt,01/12/2019 12:43:00,Timo Wagner,57.07,Produkt R,130.0,Firma19,Lager A,Lager H
003,Reparatur durchgeführt,01/12/2019 12:44:00,Emma Weber,15.93,Produkt C,80.0,Firma3,Lager E,Lager H
002,Ware aus Lager geholt,01/12/2019 12:45:00,Lisa Schulz,7.08,Produkt C,80.0,Firma5,Lager A,Lager D
004,Ware beim Kunden angekommen,01/12/2019 12:46:00,Sophia Lang,54.96,Produkt A,100.0,Firma4,Lager E,Lager J
009,Lieferanten kontaktiert,01/12/2019 12:47:00,Nico Schmidt,12.68,Produkt I,90.0,Firma9,Lager E,Lager G
004,Marketingaktion durchgeführt,01/12/2019 12:48:00,David Meyer,41.36,Produkt D,70.0,Firma20,Lager F,Lager F
008,Reparatur durchgeführt,01/12/2019 12:49:00,Sophia Lang,51.16,Produkt D,70.0,Firma7,Lager D,Lager G
002,Rechnung versendet,01/12/2019 12:50:00,Sophia Lang,35.65,Produkt Q,110.0,Firma14,Lager D,Lager A
008,Ware zum Versand vorbereitet,01/12/2019 12:51:00,David Meyer,94.97,Produkt M,95.0,Firma2,Lager F,Lager F
006,Rechnung erstellt,01/12/2019 12:52:00,Leonie Richter,24.39,Produkt L,140.0,Firma10,Lager G,Lager B
003,Rückverfolgbarkeitsprüfung,01/12/2019 12:53:00,Sophia Lang,33.4,Produkt D,70.0,Firma18,Lager C,Lager D
006,Angebot erstellt,01/12/2019 12:54:00,Lisa Schulz,96.84,Produkt C,80.0,Firma20,Lager H,Lager J
009,Ware wiederverkauft,01/12/2019 12:55:00,Sarah Schmidt,33.11,Produkt K,110.0,Firma9,Lager D,Lager B
001,Ware versandt,01/12/2019 12:56:00,Laura Fischer,56.31,Produkt G,95.0,Firma11,Lager E,Lager G
006,Personal geschult,01/12/2019 12:57:00,Laura Fischer,63.98,Produkt D,70.0,Firma14,Lager D,Lager J
005,Ware versandt,01/12/2019 12:58:00,Emma Weber,38.36,Produkt L,140.0,Firma18,Lager B,Lager H
010,Ware verpackt,01/12/2019 12:59:00,Hannah Meyer,40.29,Produkt A,100.0,Firma8,Lager H,Lager G
008,Bestellung aufgenommen,01/12/2019 13:00:00,David Meyer,71.82,Produkt I,90.0,Firma17,Lager H,Lager F
003,Kundensupport angefragt,01/12/2019 13:01:00,Jan Becker,53.87,Produkt S,90.0,Firma12,Lager E,Lager H
009,Rechnung versendet,01/12/2019 13:02:00,Max Mustermann,40.79,Produkt Q,110.0,Firma16,Lager J,Lager H
006,Produktionsplanung erstellt,01/12/2019 13:03:00,Hannah Meyer,94.9,Produkt T,85.0,Firma9,Lager E,Lager H
003,Marketingaktion durchgeführt,01/12/2019 13:04:00,Nico Schmidt,35.94,Produkt T,85.0,Firma15,Lager J,Lager C
008,Verpackungsmaterial bestellt,01/12/2019 13:05:00,Luca Huber,49.52,Produkt P,100.0,Firma10,Lager A,Lager G
007,Reparatur durchgeführt,01/12/2019 13:06:00,Sophia Lang,76.31,Produkt S,90.0,Firma10,Lager G,Lager J
006,Vertragsverhandlungen geführt,01/12/2019 13:07:00,David Meyer,99.01,Produkt T,85.0,Firma16,Lager A,Lager I
001,Lieferanten kontaktiert,01/12/2019 13:08:00,Sarah Schmidt,96.46,Produkt T,85.0,Firma5,Lager D,Lager D
002,Werbekampagne gestartet,01/12/2019 13:09:00,Paul Zimmer,55.63,Produkt L,140.0,Firma6,Lager A,Lager J
009,Rechnung bezahlt,01/12/2019 13:10:00,Jan Becker,97.29,Produkt C,80.0,Firma3,Lager C,Lager F
006,Marketingaktion durchgeführt,01/12/2019 13:11:00,Paul Zimmer,75.09,Produkt F,110.0,Firma2,Lager G,Lager G
003,Marketingaktion durchgeführt,01/12/2019 13:12:00,Leonie Richter,84.53,Produkt D,70.0,Firma2,Lager F,Lager B
005,Zahlung erhalten,01/12/2019 13:13:00,Noah Becker,28.09,Produkt P,100.0,Firma9,Lager G,Lager J
001,Ware zum Versand vorbereitet,01/12/2019 13:14:00,Luca Huber,21.36,Produkt J,75.0,Firma3,Lager H,Lager B
010,Angebot erstellt,01/12/2019 13:15:00,David Meyer,48.08,Produkt F,110.0,Firma17,Lager G,Lager F
001,Rechnung bezahlt,01/12/2019 13:16:00,Laura Fischer,17.51,Produkt E,150.0,Firma11,Lager D,Lager G
001,Ware verpackt,01/12/2019 13:17:00,Sarah Schmidt,82.2,Produkt S,90.0,Firma10,Lager J,Lager B
004,Ware wiederverkauft,01/12/2019 13:18:00,David Meyer,51.41,Produkt F,110.0,Firma11,Lager B,Lager H
003,Werbekampagne gestartet,01/12/2019 13:19:00,Emilia Wagner,83.26,Produkt O,120.0,Firma17,Lager B,Lager A
003,Ware zur Produktion gebracht,01/12/2019 13:20:00,Jonas Richter,83.03,Produkt R,130.0,Firma5,Lager I,Lager H
003,Produktionsplanung erstellt,01/12/2019 13:21:00,Emilia Wagner,23.3,Produkt T,85.0,Firma14,Lager J,Lager J
007,Zahlung erhalten,01/12/2019 13:22:00,Mia Schmitt,97.87,Produkt N,75.0,Firma20,Lager G,Lager G
006,Ware zum Versand vorbereitet,01/12/2019 13:23:00,Nico Schmidt,91.83,Produkt H,130.0,Firma15,Lager F,Lager C
010,Rückverfolgbarkeitsprüfung,01/12/2019 13:24:00,Lisa Mueller,12.04,Produkt A,100.0,Firma6,Lager C,Lager D
008,Kundensupport angefragt,01/12/2019 13:25:00,Max Mustermann,20.27,Produkt J,75.0,Firma17,Lager H,Lager D
001,Preisverhandlungen geführt,01/12/2019 13:26:00,Timo Wagner,41.95,Produkt I,90.0,Firma20,Lager G,Lager F
005,Reparatur durchgeführt,01/12/2019 13:27:00,Lisa Schulz,92.72,Produkt O,120.0,Firma5,Lager F,Lager A
007,Produktionsplanung erstellt,01/12/2019 13:28:00,Luca Huber,19.0,Produkt P,100.0,Firma19,Lager A,Lager I
004,Ware retourniert,01/12/2019 13:29:00,Emilia Wagner,32.81,Produkt H,130.0,Firma6,Lager J,Lager B
003,Preisverhandlungen geführt,01/12/2019 13:30:00,Emma Weber,32.15,Produkt A,100.0,Firma16,Lager F,Lager C
010,Werbekampagne gestartet,01/12/2019 13:31:00,Mia Schmitt,96.46,Produkt N,75.0,Firma12,Lager J,Lager E
007,Marketingaktion durchgeführt,01/12/2019 13:32:00,Mia Schmitt,51.36,Produkt R,130.0,Firma2,Lager E,Lager F
006,Produktionsplanung erstellt,01/12/2019 13:33:00,Jonas Richter,64.27,Produkt E,150.0,Firma18,Lager J,Lager F
002,Preisverhandlungen geführt,01/12/2019 13:34:00,Timo Wagner,65.51,Produkt O,120.0,Firma16,Lager I,Lager C
008,Ware wiederverkauft,01/12/2019 13:35:00,Paul Zimmer,65.38,Produkt N,75.0,Firma9,Lager E,Lager C
003,Reparatur durchgeführt,01/12/2019 13:36:00,Nico Schmidt,79.07,Produkt B,120.0,Firma19,Lager E,Lager B
001,Personal geschult,01/12/2019 13:37:00,Lisa Schulz,67.34,Produkt I,90.0,Firma5,Lager B,Lager G
006,Ware versandt,01/12/2019 13:38:00,Hannah Meyer,35.98,Produkt J,75.0,Firma2,Lager H,Lager F
004,Ware zum Versand vorbereitet,01/12/2019 13:39:00,Lisa Mueller,44.84,Produkt C,80.0,Firma17,Lager B,Lager C
002,Bestellung aufgenommen,01/12/2019 13:40:00,Lisa Schulz,17.29,Produkt N,75.0,Firma11,Lager A,Lager B
010,Produktionsplanung erstellt,01/12/2019 13:41:00,Emma Weber,15.64,Produkt P,100.0,Firma15,Lager C,Lager A
006,Rechnung erstellt,01/12/2019 13:42:00,Lena Mueller,18.45,Produkt C,80.0,Firma10,Lager H,Lager D
008,Lieferanten kontaktiert,01/12/2019 13:43:00,Jan Becker,16.3,Produkt P,100.0,Firma9,Lager A,Lager C
009,Ware zur Produktion gebracht,01/12/2019 13:44:00,Hannah Meyer,95.3,Produkt P,100.0,Firma18,Lager J,Lager E
002,Ware zum Versand vorbereitet,01/12/2019 13:45:00,Emma Weber,95.09,Produkt G,95.0,Firma13,Lager I,Lager I
002,Ware hergestellt,01/12/2019 13:46:00,Emma Weber,85.87,Produkt L,140.0,Firma4,Lager D,Lager E
010,Lieferanten kontaktiert,01/12/2019 13:47:00,Emma Weber,11.78,Produkt C,80.0,Firma17,Lager G,Lager A
009,Werbekampagne gestartet,01/12/2019 13:48:00,Lena Mueller,91.26,Produkt N,75.0,Firma4,Lager J,Lager I
003,Bestellung aufgenommen,01/12/2019 13:49:00,Leonie Richter,36.05,Produkt E,150.0,Firma20,Lager J,Lager A
001,Rechnung erstellt,01/12/2019 13:50:00,Paul Zimmer,94.76,Produkt K,110.0,Firma14,Lager C,Lager C
007,Vertragsverhandlungen geführt,01/12/2019 13:51:00,Luca Huber,96.78,Produkt N,75.0,Firma20,Lager E,Lager A
006,Ware zum Versand vorbereitet,01/12/2019 13:52:00,Hannah Meyer,98.83,Produkt G,95.0,Firma14,Lager A,Lager J
009,Kundensupport angefragt,01/12/2019 13:53:00,Paul Zimmer,31.76,Produkt M,95.0,Firma19,Lager D,Lager I
001,Angebot erstellt,01/12/2019 13:54:00,Hannah Meyer,30.2,Produkt L,140.0,Firma17,Lager I,Lager I
009,Rechnung erstellt,01/12/2019 13:55:00,Sarah Schmidt,98.71,Produkt A,100.0,Firma12,Lager J,Lager A
009,Reparatur durchgeführt,01/12/2019 13:56:00,David Meyer,62.49,Produkt L,140.0,Firma12,Lager C,Lager B
005,Ware beim Kunden angekommen,01/12/2019 13:57:00,Noah Becker,90.0,Produkt H,130.0,Firma7,Lager E,Lager G
009,Preisverhandlungen geführt,01/12/2019 13:58:00,Mia Schmitt,97.3,Produkt L,140.0,Firma2,Lager F,Lager F
009,Qualitätskontrolle durchgeführt,01/12/2019 13:59:00,Max Mustermann,21.97,Produkt M,95.0,Firma1,Lager I,Lager H
007,Ware zum Versand vorbereitet,01/12/2019 14:00:00,David Meyer,78.26,Produkt R,130.0,Firma12,Lager E,Lager J
005,Vertragsverhandlungen geführt,01/12/2019 14:01:00,Emma Weber,83.76,Produkt R,130.0,Firma3,Lager F,Lager H
010,Ware zum Versand vorbereitet,01/12/2019 14:02:00,Hannah Meyer,10.36,Produkt R,130.0,Firma7,Lager E,Lager C
006,Qualitätskontrolle durchgeführt,01/12/2019 14:03:00,Jan Becker,93.42,Produkt B,120.0,Firma10,Lager C,Lager C
007,Personal geschult,01/12/2019 14:04:00,Luca Huber,97.09,Produkt E,150.0,Firma3,Lager J,Lager H
001,Ware zur Produktion gebracht,01/12/2019 14:05:00,Paul Zimmer,32.61,Produkt C,80.0,Firma18,Lager D,Lager F
002,Qualitätskontrolle durchgeführt,01/12/2019 14:06:00,Sophia Lang,41.4,Produkt L,140.0,Firma13,Lager I,Lager B
009,Auftrag eingegangen,01/12/2019 14:07:00,Paul Zimmer,48.37,Produkt T,85.0,Firma20,Lager B,Lager F
004,Rechnung versendet,01/12/2019 14:08:00,Laura Fischer,77.28,Produkt P,100.0,Firma3,Lager C,Lager H
002,Ware zum Versand vorbereitet,01/12/2019 14:09:00,Noah Becker,87.27,Produkt O,120.0,Firma8,Lager B,Lager H
005,Werbekampagne gestartet,01/12/2019 14:10:00,Timo Wagner,89.73,Produkt N,75.0,Firma7,Lager E,Lager C
001,Ware retourniert,01/12/2019 14:11:00,Jan Becker,9.67,Produkt E,150.0,Firma18,Lager C,Lager C
005,Produktionsplanung erstellt,01/12/2019 14:12:00,Jan Becker,71.44,Produkt E,150.0,Firma11,Lager C,Lager I
003,Vertragsverhandlungen geführt,01/12/2019 14:13:00,Timo Wagner,96.55,Produkt B,120.0,Firma15,Lager J,Lager F
005,Produktionsplanung erstellt,01/12/2019 14:14:00,Luca Huber,19.39,Produkt J,75.0,Firma12,Lager I,Lager F
003,Ware umgeladen,01/12/2019 14:15:00,Luca Huber,98.19,Produkt M,95.0,Firma10,Lager J,Lager A
008,Ware versandt,01/12/2019 14:16:00,Lena Mueller,46.52,Produkt T,85.0,Firma7,Lager B,Lager B
009,Marketingaktion durchgeführt,01/12/2019 14:17:00,Jonas Richter,24.17,Produkt E,150.0,Firma1,Lager B,Lager D
007,Produktionsplanung erstellt,01/12/2019 14:18:00,Lena Mueller,6.42,Produkt I,90.0,Firma14,Lager C,Lager A
008,Ware hergestellt,01/12/2019 14:19:00,Jan Becker,40.39,Produkt M,95.0,Firma10,Lager D,Lager E
006,Ware aus Lager geholt,01/12/2019 14:20:00,Lena Mueller,10.33,Produkt H,130.0,Firma19,Lager J,Lager A
001,Ware retourniert,01/12/2019 14:21:00,Lisa Schulz,40.05,Produkt Q,110.0,Firma11,Lager C,Lager D
009,Ware retourniert,01/12/2019 14:22:00,Max Mustermann,80.21,Produkt M,95.0,Firma13,Lager C,Lager J
006,Ware umgeladen,01/12/2019 14:23:00,Emma Weber,67.83,Produkt D,70.0,Firma5,Lager B,Lager E
002,Qualitätskontrolle durchgeführt,01/12/2019 14:24:00,Mia Schmitt,12.19,Produkt F,110.0,Firma14,Lager E,Lager H
005,Werbekampagne gestartet,01/12/2019 14:25:00,Luca Huber,21.95,Produkt M,95.0,Firma5,Lager H,Lager C
