Fallnummer,Aktivität,Zeitstempel,Abteilung,Ausführende Person,Kosten (EUR),Kunde,Transportiertes Gut,Produktpreis (EUR),Ort
001,Kunden-Daten aufnehmen,2024-03-05 10:03:05,Auftragsannahme,Lena Mueller,"3,17",Daimler AG,Produkt P,"100,0",Schalter
001,Kunden-Daten in System übertragen,2024-03-05 10:59:05,Auftragsannahme,Lisa Schulz,"2,53",Daimler AG,Produkt P,"100,0",online
001,Zahlvorgang abschließen,2024-03-05 11:51:05,Auftragsannahme,Sarah Schmidt,"2,59",Daimler AG,Produkt P,"100,0",Schalter
001,Bestellung im System eintragen,2024-03-05 12:14:05,Auftragsannahme,Lisa Schulz,"4,93",Daimler AG,Produkt P,"100,0",online
001,Lagerbestand überprüfen,2024-03-05 12:58:05,Bestandsverwaltung,Lisa Mueller,"2,32",Daimler AG,Produkt P,"100,0",online
001,Auftragsabwicklung im System starten,2024-03-05 13:11:05,Bestandsverwaltung,Paul Zimmer,"3,17",Daimler AG,Produkt P,"100,0",online
001,Artikel zusammenstellen,2024-03-05 13:59:05,Lager,Jonas Richter,"14,83",Daimler AG,Produkt P,"100,0",Lager A
001,Ware verpacken,2024-03-05 14:43:05,Lager,Jonas Richter,"6,0",Daimler AG,Produkt P,"100,0",Lager C
001,Gewicht prüfen,2024-03-05 15:08:05,Qualitätskontrolle,Noah Becker,"2,62",Daimler AG,Produkt P,"100,0",Lager C
001,Anzahl der Artikel überprüfen,2024-03-05 15:43:05,Qualitätskontrolle,Emilia Wagner,"4,94",Daimler AG,Produkt P,"100,0",Lager C
001,Verpackung prüfen,2024-03-05 16:18:05,Qualitätskontrolle,Hannah Meyer,"3,9",Daimler AG,Produkt P,"100,0",Lager C
001,Paket zur Warenausgabe bringen,2024-03-05 16:48:05,Warenausgang,Leonie Richter,"8,52",Daimler AG,Produkt P,"100,0",Warenausgabe 1
001,Zahlungsabwicklung durchführen,2024-03-05 17:45:05,Warenausgang,David Meyer,"2,55",Daimler AG,Produkt P,"100,0",Warenausgabe 2
001,Paket an Kunde übergeben,2024-03-05 18:04:05,Warenausgang,Emma Weber,"2,25",Daimler AG,Produkt P,"100,0",Warenausgabe 1
001,Bestellstatus im System ändern,2024-03-05 18:25:05,Warenausgang,Emma Weber,"1,55",Daimler AG,Produkt P,"100,0",online
002,Kunden-Daten aufnehmen,2024-03-05 10:03:05,Auftragsannahme,Sarah Schmidt,"2,49",General Motors,Produkt J,"75,0",Schalter
002,Kunden-Daten in System übertragen,2024-03-05 10:22:05,Auftragsannahme,Timo Wagner,"1,99",General Motors,Produkt J,"75,0",online
002,Zahlvorgang abschließen,2024-03-05 11:00:05,Auftragsannahme,Sarah Schmidt,"2,39",General Motors,Produkt J,"75,0",Schalter
002,Bestellung im System eintragen,2024-03-05 11:01:05,Auftragsannahme,Max Mustermann,"8,39",General Motors,Produkt J,"75,0",online
002,Lagerbestand überprüfen,2024-03-05 11:56:05,Bestandsverwaltung,Jan Becker,"4,99",General Motors,Produkt J,"75,0",online
002,Auftragsabwicklung im System starten,2024-03-05 12:00:05,Bestandsverwaltung,Jan Becker,"5,61",General Motors,Produkt J,"75,0",online
002,Artikel zusammenstellen,2024-03-05 12:56:05,Lager,Mia Schmitt,"14,1",General Motors,Produkt J,"75,0",Lager A
002,Ware verpacken,2024-03-05 13:49:05,Lager,Mia Schmitt,"7,17",General Motors,Produkt J,"75,0",Lager C
