Fallnummer,Aktivität,Zeitstempel,Abteilung,Ausführende Person,Kosten (EUR),Kunde,Transportiertes Gut,Produktpreis (EUR),Abnahmeort,Abgabeort
001,Kunden-Daten aufnehmen,2024-03-04 20:27:20,Auftragsannahme,Paul Zimmer,"1,1",Intel,Produkt F,"110,0",Lager B,Lager F
001,Kunden-Daten in System übertragen,2024-03-04 20:41:20,Auftragsannahme,Lisa Mueller,"3,0",Intel,Produkt F,"110,0",Lager E,Lager G
001,Zahlvorgang abschließen,2024-03-04 21:35:20,Auftragsannahme,Timo Wagner,"4,4",Intel,Produkt F,"110,0",Lager E,Lager I
001,Bestellung im System eintragen,2024-03-04 22:02:20,Auftragsannahme,Timo Wagner,"8,33",Intel,Produkt F,"110,0",Lager A,Lager J
001,Lagerbestand überprüfen,2024-03-04 22:47:20,Bestandsverwaltung,Timo Wagner,"2,0",Intel,Produkt F,"110,0",Lager E,Lager D
001,Auftragsabwicklung im System starten,2024-03-04 23:38:20,Bestandsverwaltung,Noah Becker,"7,44",Intel,Produkt F,"110,0",Lager E,Lager E
001,Artikel zusammenstellen,2024-03-05 00:27:20,Lager,Paul Zimmer,"2,13",Intel,Produkt F,"110,0",Lager F,Lager F
001,Ware verpacken,2024-03-05 00:35:20,Lager,Nico Schmidt,"6,52",Intel,Produkt F,"110,0",Lager G,Lager A
001,Gewicht prüfen,2024-03-05 01:12:20,Qualitätskontrolle,Lena Mueller,"1,34",Intel,Produkt F,"110,0",Lager H,Lager D
001,Anzahl der Artikel überprüfen,2024-03-05 01:27:20,Qualitätskontrolle,Lisa Mueller,"2,55",Intel,Produkt F,"110,0",Lager J,Lager J
001,Verpackung prüfen,2024-03-05 01:46:20,Qualitätskontrolle,Hannah Meyer,"5,89",Intel,Produkt F,"110,0",Lager I,Lager D
001,Informationen an Transporteur übermitteln,2024-03-05 02:39:20,Warenausgang,Mia Schmitt,"9,89",Intel,Produkt F,"110,0",Lager B,Lager G
001,Paket an Transporteur übergeben,2024-03-05 03:37:20,Warenausgang,Mia Schmitt,"9,59",Intel,Produkt F,"110,0",Lager J,Lager C
001,Bestellstatus im System ändern,2024-03-05 04:19:20,Warenausgang,Jonas Richter,"1,51",Intel,Produkt F,"110,0",Lager C,Lager D
002,Kunden-Daten aufnehmen,2024-03-04 20:27:20,Auftragsannahme,Lena Mueller,"1,82",Samsung Electronics,Produkt P,"100,0",Lager G,Lager E
002,Kunden-Daten in System übertragen,2024-03-04 21:00:20,Auftragsannahme,Sophia Lang,"2,74",Samsung Electronics,Produkt P,"100,0",Lager B,Lager E
002,Zahlvorgang abschließen,2024-03-04 21:34:20,Auftragsannahme,Timo Wagner,"5,87",Samsung Electronics,Produkt P,"100,0",Lager C,Lager G
