Fallnummer,Aktivität,Zeitstempel,Abteilung,Ausführende Person,Kosten (EUR),Kunde,Transportiertes Gut,Produktpreis (EUR),Ort
001,Kunden-Daten aufnehmen,2024-03-05 10:21:08,Auftragsannahme,Lena Mueller,"3,6",Ford Motor,Produkt F,"110,0",Schalter
001,Kunden-Daten in System übertragen,2024-03-05 10:52:08,Auftragsannahme,Sarah Schmidt,"1,94",Ford Motor,Produkt F,"110,0",online
001,Zahlvorgang abschließen,2024-03-05 11:28:08,Auftragsannahme,Max Mustermann,"2,16",Ford Motor,Produkt F,"110,0",Schalter
001,Bestellung im System eintragen,2024-03-05 11:56:08,Auftragsannahme,Lisa Schulz,"5,76",Ford Motor,Produkt F,"110,0",online
001,Lagerbestand überprüfen,2024-03-05 12:26:08,Bestandsverwaltung,Laura Fischer,"2,8",Ford Motor,Produkt F,"110,0",online
001,Auftragsabwicklung im System starten,2024-03-05 12:32:08,Bestandsverwaltung,Nico Schmidt,"3,79",Ford Motor,Produkt F,"110,0",online
001,Artikel zusammenstellen,2024-03-05 13:11:08,Lager,Mia Schmitt,"12,86",Ford Motor,Produkt F,"110,0",Lager C
001,Ware verpacken,2024-03-05 14:11:08,Lager,Jonas Richter,"7,33",Ford Motor,Produkt F,"110,0",Lager C
001,Gewicht prüfen,2024-03-05 14:22:08,Qualitätskontrolle,Noah Becker,"2,52",Ford Motor,Produkt F,"110,0",Lager C
001,Anzahl der Artikel überprüfen,2024-03-05 14:26:08,Qualitätskontrolle,Noah Becker,"3,67",Ford Motor,Produkt F,"110,0",Lager C
001,Verpackung prüfen,2024-03-05 14:56:08,Qualitätskontrolle,Noah Becker,"3,74",Ford Motor,Produkt F,"110,0",Lager C
001,Informationen an Transporteur übermitteln,2024-03-05 15:26:08,Warenausgang,David Meyer,"5,09",Ford Motor,Produkt F,"110,0",online
001,Paket an Transporteur übergeben,2024-03-05 16:21:08,Warenausgang,David Meyer,"7,77",Ford Motor,Produkt F,"110,0",Warenausgabe 3
001,Bestellstatus im System ändern,2024-03-05 17:06:08,Warenausgang,Luca Huber,"1,56",Ford Motor,Produkt F,"110,0",online
002,Kunden-Daten aufnehmen,2024-03-05 10:21:08,Auftragsannahme,Lena Mueller,"3,09",BASF,Produkt Q,"110,0",Schalter
002,Kunden-Daten in System übertragen,2024-03-05 10:35:08,Auftragsannahme,Timo Wagner,"2,51",BASF,Produkt Q,"110,0",online
002,Zahlvorgang abschließen,2024-03-05 10:55:08,Auftragsannahme,Lena Mueller,"2,75",BASF,Produkt Q,"110,0",Schalter
002,Bestellung im System eintragen,2024-03-05 11:31:08,Auftragsannahme,Max Mustermann,"7,71",BASF,Produkt Q,"110,0",online
002,Lagerbestand überprüfen,2024-03-05 12:01:08,Bestandsverwaltung,Laura Fischer,"6,76",BASF,Produkt Q,"110,0",online
002,Auftragsabwicklung im System starten,2024-03-05 12:16:08,Bestandsverwaltung,Nico Schmidt,"5,8",BASF,Produkt Q,"110,0",online
002,Artikel zusammenstellen,2024-03-05 13:13:08,Lager,Jonas Richter,"13,74",BASF,Produkt Q,"110,0",Lager B
002,Ware verpacken,2024-03-05 13:49:08,Lager,Mia Schmitt,"3,84",BASF,Produkt Q,"110,0",Lager C
002,Gewicht prüfen,2024-03-05 14:23:08,Qualitätskontrolle,Emilia Wagner,"2,27",BASF,Produkt Q,"110,0",Lager C
002,Anzahl der Artikel überprüfen,2024-03-05 14:49:08,Qualitätskontrolle,Noah Becker,"2,85",BASF,Produkt Q,"110,0",Lager C
002,Verpackung prüfen,2024-03-05 15:26:08,Qualitätskontrolle,Noah Becker,"3,16",BASF,Produkt Q,"110,0",Lager C
002,Informationen an Transporteur übermitteln,2024-03-05 15:32:08,Warenausgang,Leonie Richter,"5,46",BASF,Produkt Q,"110,0",online
