Fallnummer,Aktivität,Zeitstempel,Ausführende Person,Kosten (EUR),Transportiertes Gut,Produktpreis (EUR),Kunde,Abnahmeort,Abgabeort
001,Kunden-Daten aufnehmen,2024-02-26 19:58:07,Nico Schmidt,"80,97",Produkt S,"90,0",Airbus,Lager A,Lager D
001,Kunden-Daten in System übertragen,2024-02-26 20:47:07,Emilia Wagner,"68,93",Produkt S,"90,0",Airbus,Lager D,Lager C
001,Zahlvorgang abschließen,2024-02-26 21:02:07,Jan Becker,"97,51",Produkt S,"90,0",Airbus,Lager D,Lager B
001,Bestellung im System eintragen,2024-02-26 21:44:07,Luca Huber,"71,96",Produkt S,"90,0",Airbus,Lager C,Lager C
001,Lagerbestand überprüfen,2024-02-26 21:48:07,Emilia Wagner,"68,73",Produkt S,"90,0",Airbus,Lager C,Lager H
001,Auftragsabwicklung im System starten,2024-02-26 22:31:07,Mia Schmitt,"83,53",Produkt S,"90,0",Airbus,Lager B,Lager I
001,Artikel zusammenstellen,2024-02-26 23:08:07,Leonie Richter,"54,85",Produkt S,"90,0",Airbus,Lager D,Lager I
001,Ware verpacken,2024-02-26 23:37:07,David Meyer,"82,28",Produkt S,"90,0",Airbus,Lager E,Lager C
001,Gewicht prüfen,2024-02-27 00:10:07,Emilia Wagner,"13,42",Produkt S,"90,0",Airbus,Lager A,Lager C
001,Anzahl der Artikel überprüfen,2024-02-27 00:55:07,Sarah Schmidt,"52,35",Produkt S,"90,0",Airbus,Lager A,Lager F
001,Verpackung prüfen,2024-02-27 01:25:07,Paul Zimmer,"30,0",Produkt S,"90,0",Airbus,Lager H,Lager H
001,Paket zur Warenausgabe bringen,2024-02-27 01:26:07,Jan Becker,"91,8",Produkt S,"90,0",Airbus,Lager J,Lager G
001,Paket an Kunde übergeben,2024-02-27 01:51:07,Noah Becker,"54,55",Produkt S,"90,0",Airbus,Lager A,Lager A
001,Bestellstatus im System ändern,2024-02-27 02:06:07,Paul Zimmer,"68,53",Produkt S,"90,0",Airbus,Lager H,Lager E
002,Kunden-Daten aufnehmen,2024-02-26 19:58:07,Noah Becker,"35,62",Produkt Q,"110,0",Procter & Gamble,Lager C,Lager E
002,Kunden-Daten in System übertragen,2024-02-26 20:29:07,Leonie Richter,"67,55",Produkt Q,"110,0",Procter & Gamble,Lager C,Lager B
002,Zahlvorgang abschließen,2024-02-26 21:10:07,David Meyer,"53,1",Produkt Q,"110,0",Procter & Gamble,Lager D,Lager C
002,Bestellung im System eintragen,2024-02-26 21:43:07,Hannah Meyer,"48,46",Produkt Q,"110,0",Procter & Gamble,Lager F,Lager J
002,Lagerbestand überprüfen,2024-02-26 22:13:07,Lisa Schulz,"71,92",Produkt Q,"110,0",Procter & Gamble,Lager I,Lager B
002,Auftragsabwicklung im System starten,2024-02-26 22:38:07,Emma Weber,"52,0",Produkt Q,"110,0",Procter & Gamble,Lager B,Lager A
002,Artikel zusammenstellen,2024-02-26 23:23:07,Jonas Richter,"30,37",Produkt Q,"110,0",Procter & Gamble,Lager D,Lager F
002,Ware verpacken,2024-02-27 00:17:07,Emilia Wagner,"39,77",Produkt Q,"110,0",Procter & Gamble,Lager G,Lager J
002,Gewicht prüfen,2024-02-27 01:08:07,Lisa Mueller,"87,08",Produkt Q,"110,0",Procter & Gamble,Lager H,Lager I
002,Anzahl der Artikel überprüfen,2024-02-27 01:12:07,Max Mustermann,"83,47",Produkt Q,"110,0",Procter & Gamble,Lager J,Lager A
002,Verpackung prüfen,2024-02-27 01:27:07,Max Mustermann,"26,62",Produkt Q,"110,0",Procter & Gamble,Lager D,Lager F
002,Paket zur Warenausgabe bringen,2024-02-27 02:07:07,Emilia Wagner,"46,63",Produkt Q,"110,0",Procter & Gamble,Lager G,Lager B
002,Paket an Kunde übergeben,2024-02-27 02:14:07,Nico Schmidt,"28,36",Produkt Q,"110,0",Procter & Gamble,Lager J,Lager B
002,Bestellstatus im System ändern,2024-02-27 02:16:07,Luca Huber,"53,96",Produkt Q,"110,0",Procter & Gamble,Lager G,Lager B
003,Kunden-Daten aufnehmen,2024-02-26 19:58:07,Mia Schmitt,"53,68",Produkt H,"130,0",Daimler AG,Lager J,Lager B
003,Kunden-Daten in System übertragen,2024-02-26 20:19:07,Timo Wagner,"21,88",Produkt H,"130,0",Daimler AG,Lager E,Lager A
003,Zahlvorgang abschließen,2024-02-26 20:20:07,Laura Fischer,"53,32",Produkt H,"130,0",Daimler AG,Lager B,Lager G
003,Bestellung im System eintragen,2024-02-26 21:03:07,Max Mustermann,"44,53",Produkt H,"130,0",Daimler AG,Lager A,Lager G
003,Lagerbestand überprüfen,2024-02-26 21:43:07,Timo Wagner,"97,84",Produkt H,"130,0",Daimler AG,Lager B,Lager B
003,Auftragsabwicklung im System starten,2024-02-26 22:27:07,David Meyer,"77,01",Produkt H,"130,0",Daimler AG,Lager A,Lager C
003,Artikel zusammenstellen,2024-02-26 22:44:07,Hannah Meyer,"84,56",Produkt H,"130,0",Daimler AG,Lager C,Lager E
003,Ware verpacken,2024-02-26 23:31:07,Nico Schmidt,"60,89",Produkt H,"130,0",Daimler AG,Lager A,Lager H
003,Gewicht prüfen,2024-02-27 00:01:07,Emma Weber,"28,47",Produkt H,"130,0",Daimler AG,Lager C,Lager A
003,Anzahl der Artikel überprüfen,2024-02-27 00:33:07,Sophia Lang,"17,67",Produkt H,"130,0",Daimler AG,Lager E,Lager A
003,Verpackung prüfen,2024-02-27 00:50:07,Emilia Wagner,"90,29",Produkt H,"130,0",Daimler AG,Lager D,Lager A
003,Paket zur Warenausgabe bringen,2024-02-27 01:17:07,Max Mustermann,"41,38",Produkt H,"130,0",Daimler AG,Lager I,Lager B
003,Paket an Kunde übergeben,2024-02-27 01:44:07,Jan Becker,"44,31",Produkt H,"130,0",Daimler AG,Lager I,Lager G
003,Bestellstatus im System ändern,2024-02-27 02:01:07,Noah Becker,"14,65",Produkt H,"130,0",Daimler AG,Lager H,Lager E
004,Kunden-Daten aufnehmen,2024-02-26 19:58:07,Leonie Richter,"58,95",Produkt B,"120,0",Toyota,Lager H,Lager D
004,Kunden-Daten in System übertragen,2024-02-26 20:52:07,Emilia Wagner,"91,32",Produkt B,"120,0",Toyota,Lager F,Lager I
004,Zahlvorgang abschließen,2024-02-26 21:33:07,Emma Weber,"10,43",Produkt B,"120,0",Toyota,Lager I,Lager D
004,Bestellung im System eintragen,2024-02-26 22:17:07,Jonas Richter,"46,34",Produkt B,"120,0",Toyota,Lager E,Lager H
004,Lagerbestand überprüfen,2024-02-26 23:14:07,Jan Becker,"50,34",Produkt B,"120,0",Toyota,Lager D,Lager E
004,Auftragsabwicklung im System starten,2024-02-26 23:43:07,Timo Wagner,"73,74",Produkt B,"120,0",Toyota,Lager D,Lager C
004,Artikel zusammenstellen,2024-02-27 00:13:07,Sophia Lang,"54,76",Produkt B,"120,0",Toyota,Lager C,Lager E
004,Ware verpacken,2024-02-27 01:00:07,Sarah Schmidt,"86,69",Produkt B,"120,0",Toyota,Lager B,Lager G
004,Gewicht prüfen,2024-02-27 01:19:07,Nico Schmidt,"99,34",Produkt B,"120,0",Toyota,Lager B,Lager A
004,Anzahl der Artikel überprüfen,2024-02-27 01:51:07,Hannah Meyer,"62,01",Produkt B,"120,0",Toyota,Lager J,Lager F
004,Verpackung prüfen,2024-02-27 02:04:07,Paul Zimmer,"83,2",Produkt B,"120,0",Toyota,Lager B,Lager H
004,Paket zur Warenausgabe bringen,2024-02-27 02:07:07,Jan Becker,"8,88",Produkt B,"120,0",Toyota,Lager F,Lager I
004,Zahlungsabwicklung durchführen,2024-02-27 02:29:07,Sophia Lang,"27,87",Produkt B,"120,0",Toyota,Lager E,Lager F
004,Paket an Kunde übergeben,2024-02-27 02:47:07,Emma Weber,"69,1",Produkt B,"120,0",Toyota,Lager G,Lager C
004,Bestellstatus im System ändern,2024-02-27 03:07:07,Emilia Wagner,"45,83",Produkt B,"120,0",Toyota,Lager G,Lager A
005,Kunden-Daten aufnehmen,2024-02-26 19:58:07,Lena Mueller,"5,04",Produkt R,"130,0",Intel,Lager D,Lager B
005,Kunden-Daten in System übertragen,2024-02-26 20:10:07,Lena Mueller,"30,05",Produkt R,"130,0",Intel,Lager I,Lager I
005,Zahlvorgang abschließen,2024-02-26 21:09:07,Emma Weber,"77,28",Produkt R,"130,0",Intel,Lager A,Lager A
005,Bestellung im System eintragen,2024-02-26 21:38:07,Jan Becker,"40,86",Produkt R,"130,0",Intel,Lager A,Lager I
005,Lagerbestand überprüfen,2024-02-26 21:58:07,Noah Becker,"83,77",Produkt R,"130,0",Intel,Lager I,Lager F
005,Auftragsabwicklung im System starten,2024-02-26 22:27:07,Emma Weber,"70,42",Produkt R,"130,0",Intel,Lager B,Lager J
005,Artikel zusammenstellen,2024-02-26 22:51:07,Timo Wagner,"56,94",Produkt R,"130,0",Intel,Lager D,Lager J
005,Ware verpacken,2024-02-26 23:08:07,Luca Huber,"45,86",Produkt R,"130,0",Intel,Lager D,Lager J
005,Gewicht prüfen,2024-02-26 23:57:07,Jonas Richter,"80,63",Produkt R,"130,0",Intel,Lager B,Lager J
005,Anzahl der Artikel überprüfen,2024-02-27 00:33:07,Lisa Mueller,"6,34",Produkt R,"130,0",Intel,Lager G,Lager A
005,Verpackung prüfen,2024-02-27 01:25:07,Laura Fischer,"11,02",Produkt R,"130,0",Intel,Lager F,Lager A
005,Paket zur Warenausgabe bringen,2024-02-27 01:52:07,Laura Fischer,"12,5",Produkt R,"130,0",Intel,Lager E,Lager J
005,Paket an Kunde übergeben,2024-02-27 02:14:07,Mia Schmitt,"14,92",Produkt R,"130,0",Intel,Lager D,Lager B
005,Bestellstatus im System ändern,2024-02-27 02:22:07,Emma Weber,"19,07",Produkt R,"130,0",Intel,Lager I,Lager F
006,Kunden-Daten aufnehmen,2024-02-26 19:58:07,Sophia Lang,"76,01",Produkt P,"100,0",Ford Motor,Lager G,Lager I
006,Kunden-Daten in System übertragen,2024-02-26 20:36:07,Lisa Schulz,"50,18",Produkt P,"100,0",Ford Motor,Lager G,Lager G
006,Zahlvorgang abschließen,2024-02-26 20:59:07,Sarah Schmidt,"35,15",Produkt P,"100,0",Ford Motor,Lager C,Lager E
006,Bestellung im System eintragen,2024-02-26 21:05:07,Nico Schmidt,"75,06",Produkt P,"100,0",Ford Motor,Lager B,Lager E
006,Lagerbestand überprüfen,2024-02-26 21:54:07,Max Mustermann,"76,54",Produkt P,"100,0",Ford Motor,Lager G,Lager G
006,Auftragsabwicklung im System starten,2024-02-26 21:59:07,Laura Fischer,"19,51",Produkt P,"100,0",Ford Motor,Lager C,Lager D
006,Artikel zusammenstellen,2024-02-26 22:01:07,Leonie Richter,"89,33",Produkt P,"100,0",Ford Motor,Lager A,Lager E
006,Ware verpacken,2024-02-26 22:27:07,Luca Huber,"75,12",Produkt P,"100,0",Ford Motor,Lager I,Lager E
006,Gewicht prüfen,2024-02-26 22:38:07,Luca Huber,"26,28",Produkt P,"100,0",Ford Motor,Lager C,Lager C
006,Anzahl der Artikel überprüfen,2024-02-26 23:38:07,Jonas Richter,"63,71",Produkt P,"100,0",Ford Motor,Lager F,Lager F
006,Verpackung prüfen,2024-02-26 23:57:07,Mia Schmitt,"43,23",Produkt P,"100,0",Ford Motor,Lager H,Lager J
006,Paket zur Warenausgabe bringen,2024-02-27 00:09:07,Emma Weber,"15,62",Produkt P,"100,0",Ford Motor,Lager H,Lager E
006,Paket an Kunde übergeben,2024-02-27 00:44:07,Paul Zimmer,"58,91",Produkt P,"100,0",Ford Motor,Lager B,Lager I
006,Bestellstatus im System ändern,2024-02-27 01:32:07,Hannah Meyer,"8,47",Produkt P,"100,0",Ford Motor,Lager C,Lager J
007,Kunden-Daten aufnehmen,2024-02-26 19:58:07,Lena Mueller,"29,32",Produkt M,"95,0",General Electric,Lager D,Lager G
007,Kunden-Daten in System übertragen,2024-02-26 20:47:07,Emma Weber,"6,77",Produkt M,"95,0",General Electric,Lager F,Lager J
007,Zahlvorgang abschließen,2024-02-26 21:02:07,Mia Schmitt,"65,93",Produkt M,"95,0",General Electric,Lager F,Lager D
007,Bestellung im System eintragen,2024-02-26 21:19:07,Jonas Richter,"12,15",Produkt M,"95,0",General Electric,Lager C,Lager H
007,Lagerbestand überprüfen,2024-02-26 21:42:07,Timo Wagner,"74,94",Produkt M,"95,0",General Electric,Lager B,Lager F
007,Auftragsabwicklung im System starten,2024-02-26 22:35:07,Emma Weber,"15,05",Produkt M,"95,0",General Electric,Lager J,Lager G
007,Artikel zusammenstellen,2024-02-26 22:59:07,Laura Fischer,"33,41",Produkt M,"95,0",General Electric,Lager G,Lager I
007,Ware verpacken,2024-02-26 23:47:07,Timo Wagner,"82,34",Produkt M,"95,0",General Electric,Lager B,Lager H
007,Gewicht prüfen,2024-02-27 00:10:07,Lisa Schulz,"97,92",Produkt M,"95,0",General Electric,Lager D,Lager F
007,Anzahl der Artikel überprüfen,2024-02-27 00:11:07,Max Mustermann,"80,29",Produkt M,"95,0",General Electric,Lager E,Lager H
007,Verpackung prüfen,2024-02-27 01:11:07,Luca Huber,"80,82",Produkt M,"95,0",General Electric,Lager G,Lager I
007,Paket zur Warenausgabe bringen,2024-02-27 01:26:07,Leonie Richter,"24,16",Produkt M,"95,0",General Electric,Lager F,Lager E
007,Paket an Kunde übergeben,2024-02-27 02:23:07,Mia Schmitt,"41,54",Produkt M,"95,0",General Electric,Lager H,Lager I
007,Bestellstatus im System ändern,2024-02-27 02:43:07,Laura Fischer,"37,95",Produkt M,"95,0",General Electric,Lager A,Lager E
008,Kunden-Daten aufnehmen,2024-02-26 19:58:07,Emilia Wagner,"7,58",Produkt O,"120,0",Samsung Electronics,Lager E,Lager G
008,Kunden-Daten in System übertragen,2024-02-26 20:46:07,Sarah Schmidt,"76,92",Produkt O,"120,0",Samsung Electronics,Lager E,Lager G
008,Zahlvorgang abschließen,2024-02-26 21:33:07,Emilia Wagner,"50,79",Produkt O,"120,0",Samsung Electronics,Lager A,Lager A
008,Bestellung im System eintragen,2024-02-26 21:38:07,Jonas Richter,"5,88",Produkt O,"120,0",Samsung Electronics,Lager G,Lager F
008,Lagerbestand überprüfen,2024-02-26 21:43:07,Timo Wagner,"25,22",Produkt O,"120,0",Samsung Electronics,Lager J,Lager G
008,Auftragsabwicklung im System starten,2024-02-26 22:25:07,Mia Schmitt,"79,69",Produkt O,"120,0",Samsung Electronics,Lager F,Lager C
008,Artikel zusammenstellen,2024-02-26 22:39:07,Nico Schmidt,"24,7",Produkt O,"120,0",Samsung Electronics,Lager J,Lager G
008,Ware verpacken,2024-02-26 23:39:07,David Meyer,"62,06",Produkt O,"120,0",Samsung Electronics,Lager A,Lager E
008,Gewicht prüfen,2024-02-27 00:11:07,Lisa Schulz,"13,73",Produkt O,"120,0",Samsung Electronics,Lager A,Lager C
008,Anzahl der Artikel überprüfen,2024-02-27 01:09:07,Lisa Mueller,"91,95",Produkt O,"120,0",Samsung Electronics,Lager H,Lager C
008,Verpackung prüfen,2024-02-27 01:26:07,Paul Zimmer,"83,41",Produkt O,"120,0",Samsung Electronics,Lager C,Lager C
008,Paket zur Warenausgabe bringen,2024-02-27 02:10:07,Paul Zimmer,"87,7",Produkt O,"120,0",Samsung Electronics,Lager A,Lager A
008,Paket an Kunde übergeben,2024-02-27 03:09:07,Emilia Wagner,"30,4",Produkt O,"120,0",Samsung Electronics,Lager A,Lager E
008,Bestellstatus im System ändern,2024-02-27 04:01:07,Sophia Lang,"77,64",Produkt O,"120,0",Samsung Electronics,Lager J,Lager A
009,Kunden-Daten aufnehmen,2024-02-26 19:58:07,Lena Mueller,"93,51",Produkt Q,"110,0",Bayer,Lager G,Lager G
009,Kunden-Daten in System übertragen,2024-02-26 20:16:07,Noah Becker,"5,97",Produkt Q,"110,0",Bayer,Lager G,Lager G
009,Zahlvorgang abschließen,2024-02-26 21:03:07,Timo Wagner,"73,93",Produkt Q,"110,0",Bayer,Lager I,Lager B
009,Bestellung im System eintragen,2024-02-26 21:49:07,Sarah Schmidt,"71,97",Produkt Q,"110,0",Bayer,Lager D,Lager G
009,Lagerbestand überprüfen,2024-02-26 22:48:07,Noah Becker,"7,96",Produkt Q,"110,0",Bayer,Lager E,Lager B
009,Auftragsabwicklung im System starten,2024-02-26 22:51:07,Leonie Richter,"71,26",Produkt Q,"110,0",Bayer,Lager E,Lager C
009,Artikel zusammenstellen,2024-02-26 22:56:07,Luca Huber,"43,87",Produkt Q,"110,0",Bayer,Lager D,Lager G
009,Ware verpacken,2024-02-26 23:10:07,David Meyer,"91,09",Produkt Q,"110,0",Bayer,Lager A,Lager F
009,Gewicht prüfen,2024-02-26 23:54:07,Sarah Schmidt,"20,11",Produkt Q,"110,0",Bayer,Lager J,Lager E
009,Anzahl der Artikel überprüfen,2024-02-27 00:25:07,Laura Fischer,"73,77",Produkt Q,"110,0",Bayer,Lager G,Lager E
009,Verpackung prüfen,2024-02-27 00:53:07,Timo Wagner,"70,03",Produkt Q,"110,0",Bayer,Lager I,Lager H
009,Paket zur Warenausgabe bringen,2024-02-27 01:12:07,Sophia Lang,"9,56",Produkt Q,"110,0",Bayer,Lager C,Lager G
