Fallnummer,Aktivität,Zeitstempel,Ausführende Person,Kosten (EUR),Transportiertes Gut,Produktpreis (EUR),Kunde,Abnahmeort,Abgabeort
010,Ware wiederverkauft,01/12/2019 12:01:00,Sarah Schmidt,32.65,Produkt Q,110.0,Firma12,Lager I,Lager B
007,Preisverhandlungen geführt,01/12/2019 12:02:00,Lena Mueller,38.72,Produkt B,120.0,Firma5,Lager I,Lager J
002,Ware hergestellt,01/12/2019 12:03:00,Mia Schmitt,54.6,Produkt B,120.0,Firma11,Lager C,Lager I
002,Auftrag eingegangen,01/12/2019 12:04:00,Lisa Mueller,15.07,Produkt O,120.0,Firma11,Lager F,Lager G
004,Rückverfolgbarkeitsprüfung,01/12/2019 12:05:00,Emilia Wagner,88.36,Produkt E,150.0,Firma6,Lager I,Lager H
004,Werbekampagne gestartet,01/12/2019 12:06:00,Jan Becker,39.38,Produkt D,70.0,Firma2,Lager H,Lager J
006,Rückverfolgbarkeitsprüfung,01/12/2019 12:07:00,Emilia Wagner,45.48,Produkt I,90.0,Firma2,Lager F,Lager J
008,Angebot erstellt,01/12/2019 12:08:00,Mia Schmitt,54.16,Produkt G,95.0,Firma16,Lager H,Lager E
007,Ware entsorgt,01/12/2019 12:09:00,Lisa Mueller,74.86,Produkt T,85.0,Firma11,Lager I,Lager J
009,Ware verpackt,01/12/2019 12:10:00,Nico Schmidt,96.75,Produkt A,100.0,Firma6,Lager I,Lager A
006,Qualitätskontrolle durchgeführt,01/12/2019 12:11:00,Lisa Schulz,96.41,Produkt T,85.0,Firma4,Lager D,Lager C
006,Rechnung bezahlt,01/12/2019 12:12:00,Luca Huber,28.81,Produkt L,140.0,Firma5,Lager H,Lager D
005,Ware verpackt,01/12/2019 12:13:00,Mia Schmitt,7.76,Produkt O,120.0,Firma9,Lager G,Lager A
003,Ware zur Produktion gebracht,01/12/2019 12:14:00,Timo Wagner,20.58,Produkt F,110.0,Firma10,Lager G,Lager J
001,Zahlung erhalten,01/12/2019 12:15:00,Lisa Mueller,44.68,Produkt M,95.0,Firma16,Lager F,Lager D
